[number]	[x]	[y]
1-2056	5682742.71	7429329.50
1-1933	5683766.90	7429363.19
O-4638	5684089.67	7429338.47
1-2093	5683759.79	7429302.57
1-1832	5683748.63	7429301.56
1-1833	5683750.97	7429307.14
1-2057	5682758.76	7429340.00
1-1570	5683184.66	7429314.33
1-2104	5682776.76	7429347.99
1-2103	5682893.56	7429326.63
1-2058	5682772.26	7429348.83
O-4668	5684091.89	7429367.78
O-4663	5684091.48	7429360.89
1-1837	5683759.23	7429328.63
1-2114	5682894.79	7429335.76
1-2120	5682896.90	7429351.54
1-2060	5682801.00	7429367.62
1-2061	5682801.96	7429368.19
1-1573	5683171.61	7429345.52
1-2122	5683773.14	7429402.96
1-1929	5683777.92	7429403.39
1-1572	5683176.63	7429333.52
1-1608	5683158.40	7429369.30
1-2125	5683773.94	7429409.40
1-1928	5683778.92	7429409.84
1-1607	5683153.23	7429381.66
1-2130	5682823.53	7429377.85
1-1576	5683163.57	7429364.71
1-2134	5683775.71	7429423.58
1-2135	5682899.49	7429370.80
1-1606	5683149.71	7429390.06
1-1841	5683770.81	7429369.62
1-1840	5683769.05	7429363.39
1-2137	5682900.26	7429376.56
1-2136	5682900.05	7429374.97
1-2063	5682834.75	7429387.86
1-1577	5683161.53	7429369.61
1-2139	5683776.49	7429429.83
1-1925	5683785.35	7429430.62
1-1923	5683787.71	7429443.99
1-2149	5683779.27	7429452.14
1-1922	5683789.31	7429453.05
1-2161	5683470.15	7429425.93
1-2160	5683543.59	7429433.18
1-2157	5683772.47	7429455.78
1-1580	5683151.14	7429394.43
1-2167	5683184.08	7429397.68
1-2166	5683227.87	7429402.00
1-2164	5683343.27	7429413.40
1-2170	5683225.38	7429427.19
1-2169	5682903.98	7429404.25
1-2147	5682871.40	7429408.41
1-2064	5682869.60	7429408.74
1-2065	5682874.55	7429411.72
1-2180	5682883.28	7429416.00
1-2066	5682882.07	7429416.22
1-2181	5683342.42	7429421.96
1-1846	5683782.56	7429416.75
O-4738	5684096.45	7429444.92
1-1845	5683781.32	7429410.05
1-2188	5683340.77	7429438.67
1-2183	5682906.38	7429422.17
1-2189	5683417.29	7429446.29
1-1582	5683135.30	7429432.26
1-2196	5683709.15	7429475.33
1-2199	5683468.60	7429441.65
O-4743	5684096.88	7429452.11
1-1847	5683783.98	7429424.32
1-2202	5683542.03	7429448.94
1-2201	5683542.34	7429445.84
1-1583	5683132.17	7429439.72
1-1919	5683795.52	7429498.13
1-2225	5683594.68	7429451.08
1-2224	5683594.90	7429448.86
1-2290	5683669.13	7429456.22
1-2289	5683669.60	7429451.48
1-2291	5683786.40	7429509.26
1-1917	5683796.18	7429510.16
1-2283	5682910.97	7429454.82
1-2228	5682914.09	7429455.45
1-2219	5682946.11	7429457.94
1-2220	5682920.55	7429443.12
1-2227	5682912.19	7429442.19
1-1600	5683096.82	7429471.06
1-2293	5683594.42	7429453.68
1-1586	5683114.74	7429460.07
1-2294	5683788.19	7429523.64
1-1585	5683128.40	7429448.73
1-2296	5683769.95	7429481.38
1-1853	5683797.02	7429483.99
1-2298	5683894.14	7429466.73
1-1852	5683792.52	7429457.64
1-2209	5682982.58	7429475.33
1-1599	5683081.81	7429483.52
1-2302	5683789.98	7429538.02
1-1915	5683797.75	7429538.73
1-2303	5683991.81	7429489.41
1-2230	5682916.90	7429475.09
1-2217	5682986.39	7429481.29
1-1588	5683086.03	7429483.92
1-2305	5683791.56	7429550.72
1-2231	5682917.75	7429481.05
1-2215	5683015.28	7429498.03
1-1589	5683079.22	7429489.58
1-2233	5682919.91	7429496.18
1-2214	5683028.45	7429505.67
1-2307	5683793.15	7429563.41
1-1591	5683065.47	7429500.99
1-2308	5683794.04	7429570.55
1-1911	5683796.28	7429570.75
1-2213	5683035.57	7429506.28
1-1855	5683798.03	7429504.31
O-4809	5684101.63	7429532.27
O-4803	5684101.25	7429525.96
1-1854	5683797.73	7429498.33
1-1592	5683056.86	7429508.15
1-1910	5683795.92	7429577.78
1-1856	5683798.33	7429510.36
O-4814	5684101.99	7429538.33
1-2312	5683069.50	7429522.41
1-2235	5682922.75	7429515.99
1-2309	5683038.86	7429520.06
1-2234	5682921.72	7429508.79
1-2340	5683026.81	7429532.03
1-2237	5682925.75	7429536.99
O-4853	5684103.66	7429566.64
O-4833	5684102.84	7429552.70
1-2317	5683033.64	7429532.63
1-2387	5683788.34	7429604.37
1-2318	5683020.15	7429545.64
1-2383	5683142.23	7429556.95
1-2238	5682927.60	7429549.95
1-2343	5683151.95	7429557.86
1-2388	5683780.58	7429617.19
1-1906	5683781.58	7429617.29
1-2319	5683008.49	7429556.89
1-2337	5682993.22	7429565.38
1-1860	5683798.98	7429557.71
O-4877	5684105.16	7429585.30
O-4868	5684104.67	7429579.17
1-2320	5682999.11	7429565.94
1-2381	5683209.12	7429585.71
1-2344	5683189.86	7429574.17
1-1905	5683775.80	7429628.57
1-2241	5682930.58	7429570.78
1-2335	5682982.73	7429575.80
1-1904	5683770.13	7429637.70
1-2379	5683242.50	7429600.07
1-2346	5683246.82	7429598.66
1-2332	5682965.23	7429593.18
1-2244	5682933.60	7429591.89
1-2247	5682937.69	7429620.52
1-2373	5683548.12	7429675.58
1-10018	5682944.25	7429618.85
1-2248	5682943.27	7429625.78
1-2372	5683563.21	7429683.43
1-2414	5683121.29	7429647.86
1-2249	5682942.83	7429631.32
1-1868	5683773.00	7429637.96
O-4943	5684111.83	7429668.46
O-4936	5684111.11	7429659.46
1-1867	5683778.89	7429628.86
1-2275	5682937.26	7429639.11
1-2412	5682598.62	7429692.52
