[number]	[x]	[y]
O-5297	5682514.54	7429942.13
O-5292	5682532.36	7429938.94
O-5289	5682542.01	7429937.21
1-2558	5682542.89	7429835.97
1-2076	5682799.41	7429370.16
1-2077	5682797.64	7429369.01
1-2687	5681545.49	7427772.03
1-980	5681536.43	7427815.70
O-2907	5681796.28	7427764.22
1-982	5681536.10	7427827.30
1-983	5681535.78	7427838.91
1-984	5681535.43	7427851.42
1-2712	5681539.57	7427886.32
O-2924	5681852.25	7427780.44
O-2917	5681822.46	7427772.59
1-986	5681534.51	7427888.03
1-2714	5681539.20	7427921.30
1-987	5681533.99	7427905.63
1-2715	5681542.20	7427941.21
O-2957	5681979.93	7427811.32
1-2744	5681543.32	7427955.63
O-2942	5681908.77	7427795.14
O-2939	5681903.50	7427793.94
1-1049	5681530.66	7427889.29
1-2751	5681529.56	7427889.70
1-2748	5681530.34	7427871.11
1-2749	5681529.73	7427871.35
1-888	5681499.71	7427899.78
1-887	5681502.43	7427880.57
1-2676	5681530.67	7427853.01
1-1047	5681530.89	7427840.31
1-2694	5681530.02	7427840.59
1-885	5681506.80	7427847.29
1-1046	5681531.10	7427828.51
1-2692	5681530.13	7427828.77
1-884	5681508.36	7427834.02
1-2677	5681531.32	7427816.71
1-2678	5681530.24	7427816.94
1-883	5681510.95	7427820.71
1-1055	5681536.38	7427798.18
1-882	5681514.78	7427801.06
1-2689	5681532.97	7427789.03
1-881	5681516.28	7427790.56
1-2686	5681539.56	7427737.55
1-877	5681532.93	7427726.32
1-2680	5681554.42	7427700.36
1-889	5681496.31	7427918.57
1-2753	5681535.37	7427943.71
1-891	5681488.94	7427959.26
1-2756	5681534.74	7427958.45
1-2755	5681539.52	7427956.88
1-892	5681486.21	7427974.33
1-2757	5681535.81	7427965.30
1-1045	5681541.55	7427963.38
1-893	5681484.78	7427982.25
1-1044	5681553.62	7428001.97
1-2759	5681551.72	7428016.21
1-1043	5681557.50	7428014.38
1-2762	5681559.75	7428039.40
1-899	5681467.19	7428079.44
1-52	5681582.65	7428094.81
1-901	5681457.78	7428134.15
1-2766	5681588.94	7428120.97
1-1036	5681592.63	7428119.80
1-1035	5681595.56	7428127.14
1-2768	5681600.07	7428152.08
1-1221	5681589.23	7428191.77
1-2771	5681612.83	7428184.35
1-1031	5681617.79	7428182.79
1-2773	5681619.93	7428202.30
1-1029	5681624.95	7428200.72
1-911	5681449.86	7428255.76
1-2774	5681622.73	7428209.38
1-1028	5681627.77	7428207.78
1-912	5681459.05	7428261.08
1-1027	5681633.56	7428222.28
1-1026	5681647.92	7428258.23
1-914	5681497.90	7428305.65
1-1025	5681662.43	7428294.55
1-2778	5681668.53	7428313.18
1-2709	5681682.08	7428346.21
1-53	5681683.14	7428345.90
1-1024	5681690.71	7428364.54
1-1023	5681698.49	7428383.74
1-1261	5681693.92	7428401.09
1-2705	5681713.62	7428426.77
1-1018	5681716.27	7428468.26
1-10005	5681716.25	7428458.26
1-923	5681538.10	7428529.24
1-593	5681726.72	7428501.23
1-2742	5681733.18	7428500.17
1-2739	5681723.14	7428423.78
1-1011	5681709.75	7428396.11
1-1105	5681873.09	7428344.65
1-1106	5681881.16	7428324.61
1-1010	5681703.55	7428382.10
1-2733	5681670.08	7428292.13
1-697	5681651.86	7428256.98
1-2731	5681638.21	7428220.65
1-2730	5681632.47	7428206.23
1-700	5681628.85	7428199.49
1-2729	5681629.66	7428199.16
1-699	5681625.92	7428192.15
1-2728	5681626.74	7428191.83
1-1003	5681621.60	7428181.58
1-2727	5681622.54	7428181.28
1-316	5681976.56	7428068.58
1-1112	5681981.33	7428055.53
1-1002	5681617.22	7428170.62
1-1113	5681986.41	7428041.61
1-41	5681991.04	7428028.95
1-1000	5681608.73	7428149.35
1-999	5681599.38	7428125.94
1-1120	5682014.89	7427963.74
1-1121	5682017.20	7427956.58
1-1122	5682023.73	7427936.36
1-1124	5682035.81	7427899.00
1-2719	5681572.80	7428046.17
1-995	5681571.74	7428046.51
1-10021	5681586.42	7428093.47
1-1125	5682039.50	7427887.58
1-2718	5681569.28	7428036.38
1-523	5681566.97	7428031.32
1-2717	5681567.41	7428031.18
1-526	5682041.87	7427880.24
1-143	5681851.09	7428120.70
1-142	5681860.41	7428150.04
1-10028	5681968.28	7428091.22
1-694	5681786.57	7428213.70
1-695	5681774.96	7428177.19
1-693	5681941.66	7428164.00
1-317	5681900.51	7428276.54
1-43	5681752.63	7428323.71
1-1108	5681924.29	7428211.52
1-559	5681808.26	7428396.53
1-558	5681803.63	7428382.49
1-555	5681865.73	7428362.93
1-554	5681858.71	7428380.38
1-561	5681841.90	7428422.14
1-560	5681833.31	7428443.48
1-144	5681771.52	7428493.99
1-201	5681815.94	7428486.63
1-594	5681734.22	7428500.00
1-568	5681788.76	7428566.00
1-605	5681792.90	7428539.65
1-601	5681787.95	7428564.64
1-608	5681780.67	7428523.66
1-602	5681762.32	7428518.96
1-597	5681761.20	7428551.78
1-598	5681781.49	7428551.77
1-566	5681728.76	7428575.78
1-567	5681749.14	7428570.58
1-596	5681761.09	7428560.51
1-595	5681736.98	7428560.50
1-573	5681744.50	7428604.01
1-581	5681779.39	7428592.56
1-582	5681779.29	7428590.22
1-580	5681778.73	7428588.82
1-590	5681775.22	7428586.09
1-589	5681756.06	7428588.30
1-588	5681752.55	7428588.80
1-587	5681747.13	7428593.09
1-586	5681744.93	7428597.53
1-576	5681759.22	7428644.76
1-585	5681744.42	7428605.12
1-584	5681745.96	7428610.37
1-583	5681751.57	7428631.50
1-575	5681755.02	7428644.12
1-569	5681768.48	7428643.22
1-664	5681801.86	7428661.98
1-663	5681798.77	7428658.00
1-665	5681768.54	7428663.78
1-666	5681767.52	7428664.42
1-667	5681763.05	7428672.29
1-660	5681820.00	7428666.46
1-659	5681832.27	7428664.06
1-658	5681832.82	7428666.91
1-637	5681853.33	7428662.91
1-633	5681858.98	7428661.81
1-634	5681856.18	7428647.03
1-640	5681861.68	7428675.93
1-2016	5681881.29	7428671.88
1-628	5681873.94	7428643.63
1-629	5681759.02	7428665.60
1-653	5681919.36	7428665.36
1-645	5681914.62	7428638.92
1-632	5681857.79	7428687.09
1-657	5681863.60	7428686.02
1-627	5681884.91	7428671.54
1-644	5681907.74	7428640.17
1-1307	5682563.63	7428579.77
1-1308	5682559.25	7428555.42
1-1309	5682583.95	7428549.10
1-1301	5682583.67	7428547.37
1-1286	5682349.37	7428552.69
1-1288	5682637.12	7428537.78
1-1284	5682624.77	7428507.93
1-1302	5682648.17	7428564.53
1-1287	5682777.14	7428512.68
1-1283	5682772.96	7428483.85
1-652	5681889.14	7428695.17
1-649	5681914.74	7428690.58
1-651	5681865.75	7428697.33
1-635	5681867.20	7428704.92
1-626	5681890.16	7428700.80
1-656	5681815.88	7428694.76
1-631	5681777.15	7428721.09
1-1316	5681666.12	7428583.69
1-1315	5681722.49	7428597.04
1-1013	5681727.08	7428594.78
1-202	5681725.13	7428560.97
1-1291	5681642.82	7428565.47
1-1296	5681639.56	7428566.75
1-1017	5681716.28	7428473.92
1-1016	5681718.41	7428488.88
1-10053	5681727.90	7428604.86
1-544	5681729.56	7428609.87
1-10054	5681732.09	7428617.52
1-992	5681557.41	7428000.75
1-991	5681545.35	7427962.12
1-10020	5681574.70	7427671.64
O-2808	5681575.76	7427668.82
O-2804	5681572.86	7427668.02
1-540	5681730.74	7428618.37
1-1311	5682423.45	7428646.16
1-8	5682781.15	7428540.56	56
1-535	5681801.38	7428718.24
1-537	5681824.52	7428731.32
O-4211	5681365.27	7428920.70
1-57	5681779.07	7428846.01
1-58	5681782.31	7428863.98
1-55	5681733.80	7428872.72
1-54	5681734.24	7428875.18
1-1502	5681846.00	7428855.05
1-48	5681786.48	7428886.85
1-500	5681859.95	7428873.63
1-46	5681847.68	7428857.29
1-49	5681737.91	7428895.59
1-50	5681734.68	7428877.64
1-1718	5681996.31	7428868.39
1-738	5681910.03	7428884.08
1-1377	5681886.68	7428888.32
1-501	5681910.78	7428941.77
1-2700	5681882.71	7429012.33
1-1498	5681955.74	7428998.87
1-1749	5681863.26	7428964.59
1-1748	5681867.94	7428990.75
1-1747	5681872.16	7429014.31
1-1497	5681970.48	7429021.71
1-615	5682150.00	7428963.96
1-620	5681969.96	7428996.29
1-619	5681935.12	7428951.66
1-1742	5681973.47	7428944.69
1-616	5682119.81	7428944.98
1-671	5682154.01	7429383.04
1-1483	5682207.64	7429373.30
1-675	5682196.78	7429350.52
1-674	5682152.51	7429367.15
1-1959	5682035.99	7429169.62
1-1490	5682072.08	7429156.27
1-1958	5682034.93	7429162.79
1-1488	5682085.74	7429173.98
O-4589	5681419.98	7429293.43
O-4576	5681418.03	7429279.57
1-550	5682175.83	7429307.68
O-4726	5681439.38	7429430.83
1-2041	5682041.46	7429298.77
1-1397	5682198.01	7429322.03
1-1995	5682239.41	7429258.09
1-1395	5682171.43	7429270.08
1-10027	5682531.61	7429195.04
1-1998	5682878.06	7429212.96
1-10023	5682649.34	7429268.45
1-1694	5682633.58	7429258.14
1-1675	5681862.81	7428806.82
1-1370	5681826.76	7428812.76
1-1398	5682203.75	7429334.55
1-511	5682552.18	7429311.41
1-517	5682227.73	7429387.57
1-516	5682299.32	7429374.52
1-515	5682469.64	7429343.49
1-514	5682554.83	7429328.00
1-513	5682696.29	7429302.74
1-2094	5682557.62	7429345.49
1-2096	5682303.85	7429391.35
1-2101	5682558.96	7429353.88
1-2082	5682727.98	7429323.46
1-2150	5682305.55	7429400.02
1-2071	5682877.08	7429417.14
1-2421	5682600.68	7429718.45
1-2273	5682939.69	7429656.55
1-1425	5682418.06	7429777.28
1-1426	5682422.91	7429789.42
1-1450	5682434.87	7429835.88
1-2621	5682187.17	7429880.42
1-1451	5682430.43	7429826.99
1-2602	5682367.90	7429838.32
1-2603	5682186.26	7429871.25
1-1452	5682422.11	7429809.90
O-5377	5681522.91	7430000.73
O-5365	5681521.67	7429991.76
1-2397	5682234.22	7429601.67
1-1466	5682302.39	7429565.72
1-1473	5682278.46	7429516.52
1-708	5682124.52	7429544.32
1-2179	5682098.06	7429437.36
1-2178	5682145.12	7429428.91
1-1482	5682215.55	7429389.80
O-4754	5681445.17	7429472.37
1-676	5682190.13	7429336.69
O-4748	5681443.38	7429459.16
1-673	5682108.07	7429365.63
1-1402	5682242.43	7429419.32
1-1427	5682432.87	7429807.95
1-735	5682598.78	7429777.97
1-2642	5681983.96	7429937.32
1-2637	5682131.40	7429910.60
1-2636	5682164.57	7429904.59
1-2629	5682316.25	7429877.10
1-2666	5681577.37	7430011.00
1-2659	5681683.28	7429991.81
1-2658	5681700.99	7429988.60
1-2656	5681736.83	7429982.10
1-2650	5681823.73	7429966.35
1-2647	5681853.85	7429960.90
1-2646	5681865.76	7429958.74
O-5179	5682884.36	7429875.84
1-2532	5682929.88	7429765.58
1-2533	5682915.45	7429768.20
O-5146	5682921.11	7429856.64
1-2530	5682948.42	7429762.21
1-2531	5682947.05	7429762.46
1-2456	5683075.03	7429740.78
1-2458	5683073.34	7429752.78
1-2449	5683021.05	7429735.91
1-2263	5682951.24	7429729.61
1-2333	5682971.50	7429586.96
1-2326	5682957.54	7429606.03
1-2325	5682970.35	7429593.67
1-2349	5683476.76	7429635.05
1-1900	5683756.31	7429659.93
1-1874	5683750.21	7429673.13
1-1866	5683783.57	7429617.47
1-1865	5683791.23	7429604.63
1-1862	5683798.37	7429570.94
1-1843	5683776.71	7429390.53
1-1815	5683738.19	7429187.18
1-1813	5683739.27	7429166.74
1-1788	5683737.14	7429153.73
1-1950	5683739.53	7429240.44
1-1949	5683739.31	7429253.24
1-1948	5683740.81	7429260.52
1-1947	5683742.19	7429267.20
1-2243	5682932.55	7429584.53
1-2407	5683278.47	7429636.85
1-2581	5683603.13	7429803.17
1-2570	5683605.36	7429788.67
1-10030	5683647.17	7429818.03
1-2481	5683653.01	7429808.30
1-2569	5683629.25	7429790.78
1-2439	5683669.72	7429786.92
1-2453	5683279.33	7429759.23
1-2441	5683393.45	7429762.17
1-2444	5683279.20	7429751.94
1-2448	5683060.30	7429739.45
1-2142	5683093.86	7429389.94
1-2145	5682903.01	7429397.02
1-2155	5683087.32	7429415.40
1-2151	5683088.97	7429408.97
1-1256	5682087.30	7428516.59
1-1259	5681862.45	7428553.55
1-1101	5681785.64	7428628.05
1-1102	5681782.77	7428641.27
1-1257	5682080.33	7428473.91
1-1258	5681855.74	7428509.85
1-1072	5682051.61	7427842.47
1-203	5681738.50	7428669.73
1-533	5681827.78	7428484.66
1-531	5681842.42	7428447.66
1-2699	5681924.75	7428307.31
1-1253	5681687.01	7428365.74
1-1254	5681642.77	7428379.97
1-1246	5681588.11	7428317.78
1-1251	5681600.36	7428372.49
O-2801	5681559.39	7427664.30
1-2681	5681544.67	7427698.80
1-2117	5682304.56	7429434.78
1-2116	5682301.44	7429435.31
1-1295	5681627.10	7428557.11
1-1292	5681625.81	7428553.86
O-4498	5684076.89	7429218.28
O-4488	5684075.50	7429205.15
1-1973	5683835.51	7429182.90
O-4468	5684074.67	7429197.39
1-1789	5683608.03	7429141.78
1-1791	5683246.21	7429108.29
1-1794	5683611.13	7429148.49
1-1792	5683276.76	7429117.71
1-1793	5683245.01	7429114.79
1-1964	5683401.25	7429176.18
1-1963	5683550.64	7429189.82
1-1970	5683400.64	7429182.98
1-1988	5683397.87	7429209.23
1-1989	5683223.54	7429193.31
1-2008	5683214.95	7429219.03
1-2000	5683475.37	7429236.19
1-1962	5683162.24	7429187.48
1-1967	5683160.00	7429200.32
1-1798	5683176.81	7429155.50
1-1801	5683172.93	7429161.97
1-1779	5683147.22	7429113.07
1-1289	5682780.62	7428536.91
1-1280	5683057.89	7428567.16
1-1281	5682985.05	7428528.90
1-1282	5682962.94	7428520.68
1-1074	5681576.93	7427994.50
1-1071	5681581.52	7427950.14
1-1326	5682841.72	7428610.55
1-1274	5683223.46	7428648.64
1-1275	5683196.94	7428636.19
1-1319	5682788.74	7428590.76
1-1331	5682840.02	7428625.52
1-1332	5682793.27	7428620.70
1-10010	5681533.09	7427717.32
1-10008	5681515.73	7428489.45
1-927	5681515.84	7428489.69
1-67	5681496.55	7427716.29
1-858	5681450.86	7427708.55
1-857	5681455.07	7427684.71
1-2404	5682597.25	7429675.27
1-1418	5682375.55	7429692.73
1-2406	5682509.16	7429668.59
1-1485	5682152.81	7429261.65
1-1477	5682245.50	7429450.46
1-1463	5682335.99	7429635.89
1-1462	5682347.13	7429659.91
1-1461	5682363.72	7429692.73
1-1460	5682375.46	7429715.95
1-1369	5681817.08	7428798.01
1-1368	5681814.36	7428792.78
1-1324	5681802.26	7428769.46
1-1493	5682040.28	7429114.54
1-1491	5682057.72	7429137.56
1-1337	5681872.56	7428782.27
1-1322	5681995.14	7428734.63
1-1320	5682431.16	7428655.88
1-1330	5681999.60	7428759.33
1-1328	5682792.58	7428616.17
1-539	5681687.86	7428662.65
1-148	5681718.29	7428650.03
1-536	5681678.53	7428639.66
1-149	5681729.37	7428677.17
1-542	5681701.31	7428695.26
1-69	5681662.72	7428509.40
1-2548	5682649.33	7429816.61
O-5259	5682634.93	7429920.55
O-3804	5682987.03	7428524.33
O-3795	5682964.23	7428515.86
O-2911	5681804.66	7427767.94
O-2963	5682013.97	7427819.06
1-20008	5681793.76	7427762.94
O-2869	5681723.42	7427730.83
O-2829	5681634.93	7427692.92
O-4969	5681478.52	7429698.97
O-4963	5681477.08	7429689.35
O-4999	5681484.28	7429737.54
O-4988	5681482.26	7429722.77
O-5544	5681593.76	7430109.21
O-5542	5681599.66	7430108.17
O-5539	5681607.53	7430106.79
O-5557	5681582.30	7430111.23
O-5556	5681583.17	7430111.08
O-5553	5681588.59	7430110.12
O-5491	5681751.41	7430081.48
O-5159	5684127.18	7429865.01
O-5140	5684126.13	7429851.46
O-5103	5684124.40	7429829.43
O-5051	5684121.41	7429791.01
O-5044	5684121.01	7429785.88
O-5041	5684120.66	7429781.33
O-5033	5684120.16	7429774.85
O-5027	5684119.72	7429769.23
O-5034	5684120.30	7429776.61
O-5014	5684118.62	7429754.98
O-4950	5684112.63	7429678.46
O-4946	5684112.19	7429672.95
O-4953	5684112.72	7429679.54
O-4929	5684109.70	7429641.95
O-4923	5684109.01	7429633.37
O-4896	5684106.61	7429603.38
O-4917	5684108.60	7429628.30
O-4864	5684104.50	7429577.01
O-4884	5684105.66	7429591.57
O-4878	5684105.19	7429585.73
O-4789	5684100.44	7429512.28
O-4827	5684102.59	7429548.56
O-4777	5684099.67	7429499.21
O-4762	5684098.58	7429480.40
O-4771	5684099.37	7429493.37
O-4747	5684097.30	7429459.15
O-4729	5684095.88	7429435.15
O-4741	5684096.79	7429450.61
O-4713	5684094.91	7429418.87
O-4706	5684094.19	7429406.63
O-4687	5684093.12	7429388.57
O-4645	5684090.52	7429346.44
O-4627	5684088.81	7429330.33
O-4582	5684083.89	7429284.11
1-2009	5683748.76	7429221.52
O-4530	5684079.75	7429245.14
O-4543	5684080.52	7429252.39
O-4504	5684077.68	7429225.66
O-4500	5684077.23	7429221.48
O-4474	5684075.01	7429200.61
O-4338	5683640.11	7429073.52
1-10039	5683518.91	7429025.42
O-4361	5683632.92	7429098.14
O-4351	5683635.58	7429089.06
O-4379	5683629.15	7429111.06
O-4381	5683629.52	7429109.79
O-4367	5683631.87	7429101.74
O-7417	5683632.46	7429099.72
O-4303	5683650.85	7429036.76
O-4295	5683653.18	7429028.77
O-4272	5683659.09	7429008.66
O-4253	5683664.50	7428990.34
O-4247	5683667.67	7428979.59
O-4242	5683670.19	7428971.06
O-4236	5683672.91	7428961.84
O-4210	5683685.31	7428919.80
O-4193	5683690.89	7428900.88
O-4187	5683692.36	7428895.89
O-4177	5683698.08	7428876.52
O-4112	5683600.85	7428844.45
O-4103	5683576.57	7428836.97
O-4099	5683572.42	7428835.28
O-4093	5683566.54	7428833.19
O-4048	5683511.61	7428804.33
O-4037	5683488.52	7428791.08
O-4030	5683482.88	7428787.80
O-4022	5683479.17	7428785.63
O-4019	5683465.84	7428777.86
O-3968	5683342.77	7428706.18
O-3783	5682957.39	7428509.41
O-3698	5682907.54	7428453.31
O-3654	5682883.34	7428424.93
O-3609	5682846.02	7428382.35
O-1417	5681984.11	7427812.27
O-2830	5681069.70	7427693.60
O-2971	5681084.70	7427830.78
O-2938	5681079.38	7427793.37
O-2958	5681081.99	7427811.69
O-2883	5681073.94	7427740.31
O-2894	5681075.16	7427753.75
O-2910	5681076.42	7427767.60
O-2925	5681077.65	7427781.21
O-3813	5681406.45	7428533.53
O-3699	5681348.18	7428453.57
O-3706	5681350.48	7428456.72
O-3660	5681261.96	7428430.32
O-3662	5681331.74	7428431.00
O-3695	5681344.17	7428448.07
O-3961	5681522.22	7428695.48
O-3973	5681539.57	7428718.44
O-3987	5681553.80	7428737.27
O-3878	5681451.94	7428597.00
O-4164	5681357.79	7428867.55
O-4171	5681358.67	7428873.93
O-4185	5681360.84	7428889.70
O-4885	5681462.49	7429591.75
O-4881	5681461.95	7429588.12
O-5048	5681492.05	7429789.57
O-5050	5681492.18	7429790.46
O-5104	5681498.03	7429829.57
O-5119	5681498.91	7429835.47
O-5130	5681500.03	7429842.99
O-5172	5681504.65	7429873.84
O-5176	5681504.86	7429875.24
O-5205	5681506.29	7429884.84
O-4482	5681407.27	7429203.41
O-4436	5681401.56	7429162.94
O-4508	5681410.83	7429228.56
O-4502	5681410.04	7429222.98
O-4625	5681424.97	7429328.78
O-4652	5681428.12	7429351.05
O-4669	5681430.60	7429368.68
O-4902	5681465.38	7429611.08
O-4315	5681385.29	7429050.17
O-4325	5681387.09	7429061.77
O-4349	5681390.47	7429084.38
O-5022	5681488.14	7429763.36
O-5026	5681488.80	7429767.80
O-4235	5681371.57	7428961.42
O-7194	5681372.72	7428968.85
O-4226	5681368.42	7428941.06
O-4218	5681367.20	7428933.16
O-4224	5681368.07	7428938.80
O-4230	5681368.99	7428944.75
O-4300	5681382.77	7429033.86
O-4289	5681381.09	7429022.97
O-4304	5681383.48	7429038.43
O-4421	5681400.51	7429155.51
O-4701	5681435.46	7429403.07
O-4707	5681436.16	7429408.01
O-4717	5681438.15	7429422.11
O-4922	5681468.69	7429633.23
O-4850	5681458.55	7429565.36
O-4837	5681456.93	7429554.48
O-4757	5681445.47	7429474.43
O-4774	5681448.67	7429496.65
1-139	5681964.93	7429154.33
1-140	5681962.74	7429142.53
O-4526	5681412.55	7429240.75
O-4544	5681414.22	7429252.58
1-141	5682019.44	7429144.45
O-4514	5681411.27	7429231.69
O-4525	5681412.50	7429240.41
O-4551	5681415.41	7429261.00
O-4563	5681416.48	7429268.64
O-5345	5682300.63	7429981.33
O-5344	5682313.51	7429978.98
O-5360	5682250.48	7429990.49
O-5364	5682238.60	7429992.65
O-5374	5682206.57	7429998.50
O-5370	5682217.18	7429996.56
O-5388	5682148.93	7430009.02
O-5383	5682163.02	7430006.45
O-5396	5682114.96	7430015.21
O-5399	5682089.98	7430019.77
O-5424	5681973.51	7430041.03
O-5433	5681954.85	7430044.43
O-5447	5681890.66	7430056.14
O-5446	5681891.45	7430056.00
O-5453	5681868.33	7430060.22
O-5451	5681874.62	7430059.07
O-5455	5681864.58	7430060.90
O-5463	5681838.04	7430065.75
O-5462	5681840.49	7430065.30
O-5470	5681820.92	7430068.87
O-5475	5681803.81	7430071.99
O-5472	5681814.90	7430069.97
O-5478	5681794.54	7430073.68
O-5476	5681799.26	7430072.82
O-5496	5681731.99	7430084.89
O-5503	5681714.45	7430087.98
O-5509	5681696.71	7430091.10
O-5513	5681678.88	7430094.24
O-5512	5681681.42	7430093.79
O-5524	5681639.69	7430101.13
O-5537	5681616.47	7430105.21
O-5560	5681571.69	7430113.10
O-5333	5682367.82	7429969.08
O-5335	5682358.76	7429970.73
O-5411	5682041.53	7430028.62
O-5407	5682058.06	7430025.60
O-5412	5682038.39	7430029.19
O-5416	5682010.69	7430034.24
O-5414	5682022.51	7430032.09
O-5413	5682033.45	7430030.09
O-7416	5682037.37	7430029.38
O-5419	5682006.66	7430034.98
O-5342	5682336.35	7429974.82
O-5337	5682348.05	7429972.69
O-5343	5682328.18	7429976.31
O-5442	5681916.22	7430052.35
O-2794	5681534.16	7427657.32
O-2776	5681448.11	7427636.53
O-2770	5681379.70	7427633.53
O-2766	5681306.43	7427630.07
O-2762	5681278.27	7427627.82
O-2754	5681199.91	7427622.00
1-20012	5681199.74	7427623.49
1-2079	5682767.99	7429349.62
1-2124	5682564.31	7429387.36
1-60	5682515.16	7429370.64
1-61	5682517.34	7429382.89
1-2115	5682297.54	7429422.67
O-2784	5681065.46	7427646.89
1-855	5681194.74	7427667.41
1-970	5681513.71	7427773.02
1-966	5681504.86	7427834.86
O-3050	5681017.19	7427917.57
O-3188	5681037.58	7428020.63
1-964	5681501.79	7427862.83
O-3211	5681040.80	7428036.92
1-963	5681499.19	7427881.67
O-3228	5681044.20	7428054.09
1-10009	5681496.75	7427899.30
O-3290	5681055.61	7428115.26
1-958	5681482.77	7427975.46
1-959	5681485.53	7427960.41
1-957	5681481.31	7427983.41
1-956	5681473.21	7428027.52
1-955	5681470.61	7428041.71
1-1193	5681143.89	7428171.26
1-952	5681465.55	7428069.26
1-951	5681463.47	7428080.61
1-950	5681458.63	7428106.96
1-1205	5681129.49	7428215.44
O-3441	5681076.08	7428235.95
1-1199	5681115.87	7428222.39
1-1212	5681149.00	7428243.78
1-1218	5681150.13	7428259.84
1-946	5681448.91	7428165.29
1-1223	5681565.78	7428186.82
1-1224	5681561.59	7428176.36
1-906	5681444.91	7428212.89
1-1236	5681154.11	7428316.30
O-3683	5681150.37	7428441.07
O-3693	5681117.89	7428445.00
1-1238	5681155.80	7428340.14
1-938	5681446.00	7428256.98
1-1240	5681156.95	7428356.50
1-1241	5681158.07	7428372.36
1-1243	5681160.87	7428412.16
1-935	5681494.09	7428306.86
1-933	5681514.63	7428340.75
1-920	5681518.67	7428456.30
1-1262	5681652.05	7428414.28
1-919	5681518.64	7428441.46
O-3753	5681373.33	7428488.08
1-930	5681515.38	7428442.51
1-1310	5682787.10	7428579.89
1-1278	5683125.74	7428602.81
1-1276	5683172.93	7428624.93
1-1272	5683301.48	7428686.57
1-1333	5682795.42	7428634.93
1-1665	5682026.77	7428883.39
1-1363	5682810.95	7428741.20
1-1663	5682000.61	7428867.61
1-1671	5682524.05	7428828.21
1-1360	5682815.94	7428777.59
1-1670	5682063.36	7428906.26
1-1673	5682530.72	7428842.99
1-1677	5682124.15	7428944.25
1-1358	5682821.30	7428816.76
1-1726	5682552.67	7428891.59
1-1357	5682824.78	7428842.15
1-1680	5682186.14	7428983.00
1-1728	5682828.28	7428867.64
1-1659	5683274.32	7428917.43
1-1739	5681968.75	7428923.67
1-1716	5682050.13	7428901.56
1-1655	5683269.11	7428966.43
1-1653	5683264.14	7428991.78
1-1654	5683269.09	7428967.66
1-1745	5682564.52	7429019.09
1-1744	5682842.28	7428969.07
1-1681	5682286.08	7429044.07
1-1746	5682843.04	7428974.51
1-1652	5683259.55	7429014.16
1-1752	5682844.04	7428981.74
1-1683	5682335.54	7429073.78
1-1651	5683254.73	7429037.62
1-1756	5682559.66	7429045.96
1-1534	5683262.56	7429014.36
O-4350	5683636.33	7429086.49
1-1533	5683267.15	7428992.00
1-1765	5682551.99	7429088.48
1-1767	5682549.73	7429100.97
1-1687	5682419.97	7429124.49
1-1710	5682314.53	7429064.66
1-1387	5682065.50	7429123.10
1-1778	5682539.92	7429155.30
1-1776	5682860.10	7429093.94
1-1775	5682859.16	7429087.71
1-1773	5682857.14	7429074.37
1-1771	5682856.14	7429067.75
1-1770	5682545.69	7429123.31
1-1648	5683237.51	7429100.55
1-1646	5683234.05	7429113.83
1-1641	5683232.03	7429149.86
1-1783	5682862.14	7429107.48
1-1800	5683242.56	7429128.07
1-1797	5683243.76	7429121.57
1-1542	5683238.58	7429127.71
1-1803	5683240.18	7429140.95
1-1802	5683736.20	7429187.00
1-1809	5682872.32	7429174.88
1-1807	5682870.02	7429159.66
1-1805	5682867.99	7429146.22
1-1804	5682866.96	7429139.40
1-12	5682533.20	7429192.50
1-1691	5682582.82	7429224.95
1-1637	5683223.97	7429173.56
1-10042	5683739.57	7429153.95
O-4451	5684073.21	7429183.66
1-1810	5683739.06	7429146.47
1-1811	5683739.14	7429153.91
1-1961	5683236.60	7429154.20
1-1960	5683237.87	7429150.41
1-1545	5683234.12	7429153.97
1-1953	5683737.55	7429220.50
1-1548	5683227.96	7429173.94
1-1980	5682873.60	7429183.38
1-1982	5682874.11	7429186.74
1-1631	5683210.86	7429218.64
1-1985	5682875.03	7429192.85
1-1996	5683745.93	7429200.71
O-4513	5684078.30	7429231.51
1-1990	5683745.34	7429196.36
1-1817	5683737.96	7429199.99
O-4521	5684078.99	7429237.98
1-2001	5683747.83	7429214.68
1-1624	5683199.88	7429256.78
1-1622	5683197.96	7429263.94
1-1621	5683196.47	7429269.47
1-1620	5683194.68	7429276.16
1-2024	5682883.48	7429251.48
1-2036	5682885.79	7429268.75
1-2035	5682885.71	7429268.16
1-10047	5682681.27	7429287.03
1-2025	5682678.53	7429287.53
1-2038	5683202.27	7429256.99
1-1940	5683749.21	7429306.98
1-2034	5683203.82	7429252.34
1-1561	5683202.16	7429256.98
1-2039	5683754.23	7429261.75
1-2031	5683753.25	7429254.51
1-1939	5683752.16	7429314.36
1-2042	5683755.14	7429268.38
O-4594	5684085.41	7429298.37
1-1826	5683744.18	7429267.38
1-2045	5683296.39	7429279.01
1-1563	5683200.36	7429264.26
1-1827	5683746.46	7429273.76
1-1617	5683189.22	7429295.68
1-2051	5682725.27	7429315.12
1-2050	5682888.13	7429286.13
1-1565	5683197.34	7429276.40
1-1615	5683181.54	7429314.04
1-1934	5683763.03	7429349.43
1-1567	5683192.69	7429295.17
