[x]	[y]	[x]	[y]
5683329.49	7429763.76	5683327.42	7429776.69
5683393.08	7429769.50	5683393.45	7429762.17
5683388.62	7429757.85	5683281.06	7429748.12
5683281.06	7429748.12	5683281.22	7429752.12
5683279.20	7429751.94	5683279.33	7429759.33
5683279.33	7429759.33	5683329.49	7429763.76
5683281.22	7429752.12	5683393.45	7429762.17
5683393.45	7429762.17	5683629.91	7429783.32
5683279.33	7429759.33	5683223.32	7429754.17
5683223.32	7429754.17	5683221.19	7429767.19
5683221.19	7429767.19	5683219.07	7429780.11
5683223.32	7429754.17	5683124.33	7429745.23
5683124.33	7429745.23	5683122.27	7429758.07
5683122.27	7429758.07	5683120.18	7429771.07
5683124.33	7429745.23	5683075.03	7429740.78
5683075.03	7429740.78	5683073.34	7429752.78
5683073.34	7429752.78	5683073.18	7429753.65
5683073.18	7429753.65	5683071.39	7429766.61
5683073.18	7429753.65	5683122.27	7429758.07
5683073.34	7429752.78	5683019.23	7429747.86
5683075.03	7429740.78	5683060.30	7429739.45
5683060.30	7429739.45	5683060.94	7429732.39
5683060.94	7429732.39	5683281.22	7429752.12
5683060.94	7429732.39	5682951.05	7429722.54
5682951.05	7429722.54	5682951.24	7429729.61
5682951.24	7429729.61	5682951.59	7429741.62
5682951.59	7429741.62	5682951.96	7429755.70
5682951.59	7429741.62	5683019.23	7429747.86
5683019.23	7429747.86	5683021.05	7429735.91
5683021.05	7429735.91	5682951.24	7429729.61
5683021.05	7429735.91	5683060.30	7429739.45
5683517.83	7429659.78	5683485.87	7429643.18
5683485.87	7429643.18	5683415.51	7429636.42
5683415.51	7429636.42	5683412.67	7429649.74
5683412.67	7429649.74	5683517.83	7429659.78
5683517.83	7429659.78	5683534.45	7429668.25
5683485.87	7429643.18	5683472.64	7429636.06
5683415.51	7429636.42	5683280.62	7429623.47
5683280.62	7429623.47	5683278.47	7429636.85
5683278.47	7429636.85	5683412.67	7429649.74
5683280.62	7429623.47	5682970.35	7429593.67
5682970.35	7429593.67	5682957.54	7429606.03
5682957.54	7429606.03	5683278.47	7429636.85
5682977.00	7429587.26	5682970.35	7429593.67
5682957.54	7429606.03	5682951.71	7429611.65
5682945.05	7429695.10	5682943.27	7429682.31
5682943.27	7429682.31	5682939.69	7429656.55
5682939.69	7429656.55	5682938.46	7429647.73
5682935.04	7429623.16	5682933.67	7429613.55
5682933.67	7429613.55	5682930.07	7429588.40
5682930.07	7429588.40	5682925.23	7429554.54
5682930.07	7429588.40	5682595.15	7429649.84
5682595.15	7429649.84	5682374.54	7429690.73
5682374.54	7429690.73	5682375.55	7429692.73
5682375.55	7429692.73	5682509.16	7429668.59
5682509.16	7429668.59	5682518.08	7429689.80
5682518.08	7429689.80	5682386.28	7429713.97
5682386.28	7429713.97	5682375.55	7429692.73
5682386.28	7429713.97	5682390.22	7429722.05
5682518.08	7429689.80	5682597.17	7429675.28
5682597.17	7429675.28	5682933.67	7429613.55
5682904.42	7429407.03	5682903.98	7429404.25
5682903.98	7429404.25	5683087.32	7429415.40
5683087.32	7429415.40	5683088.97	7429408.97
5683088.97	7429408.97	5682903.01	7429397.02
5682903.01	7429397.02	5682903.74	7429402.47
5682903.74	7429402.47	5682903.98	7429404.25
5682903.01	7429397.02	5682901.80	7429387.99
5682901.80	7429387.99	5683090.67	7429402.39
5683090.67	7429402.39	5683088.97	7429408.97
5683090.67	7429402.39	5683093.86	7429389.94
5683093.86	7429389.94	5682900.05	7429374.97
5682900.05	7429374.97	5682901.80	7429387.99
5682900.05	7429374.97	5682899.49	7429370.80
5683093.86	7429389.94	5683148.01	7429394.12
5683148.01	7429394.12	5683137.82	7429418.47
5683137.82	7429418.47	5683087.32	7429415.40
5683148.01	7429394.12	5683149.71	7429390.06
5683137.82	7429418.47	5683132.18	7429431.94
5683197.34	7429276.40	5683199.00	7429269.71
5683199.00	7429269.71	5683198.81	7429269.87
5683199.00	7429269.71	5683200.36	7429264.26
5683200.36	7429264.26	5683200.84	7429262.30
5683200.36	7429264.26	5683296.92	7429273.39
5683215.86	7429212.41	5683218.00	7429205.61
5683218.00	7429205.61	5683219.56	7429205.79
5683219.56	7429205.79	5683395.89	7429222.06
5683395.89	7429222.06	5683397.84	7429209.44
5683397.84	7429209.44	5683223.54	7429193.31
5683223.54	7429193.31	5683221.92	7429193.15
5683221.92	7429193.15	5683223.84	7429187.05
5683221.92	7429193.15	5683218.00	7429205.61
5683397.84	7429209.44	5683739.53	7429240.44
5683739.53	7429240.44	5683738.87	7429233.74
5683739.53	7429240.44	5683739.31	7429253.24
5683739.31	7429253.24	5683740.81	7429260.52
5683739.31	7429253.24	5683395.89	7429222.06
5684075.01	7429200.61	5684075.50	7429205.15
5684075.50	7429205.15	5684076.89	7429218.28
5684075.50	7429205.15	5683835.51	7429182.90
5683835.51	7429182.90	5683835.63	7429175.55
5683835.51	7429182.90	5683739.34	7429173.99
5683739.34	7429173.99	5683739.27	7429166.74
5683739.34	7429173.99	5683738.19	7429187.18
5683737.06	7429146.28	5683737.14	7429153.73
5683737.14	7429153.73	5683737.21	7429160.09
5683737.21	7429160.09	5683737.28	7429166.56
5683737.14	7429153.73	5683608.12	7429141.98
5683608.12	7429141.98	5683611.22	7429148.68
5683611.22	7429148.68	5683737.21	7429160.09
5683608.12	7429141.98	5683274.18	7429110.88
5683274.18	7429110.88	5683276.76	7429117.71
5683276.76	7429117.71	5683611.22	7429148.68
5683274.18	7429110.88	5683246.21	7429108.29
5683246.21	7429108.29	5683236.25	7429107.42
5683236.25	7429107.42	5683240.50	7429100.81
5683236.25	7429107.42	5683237.04	7429114.09
5683237.04	7429114.09	5683237.78	7429121.05
5683237.04	7429114.09	5683276.76	7429117.71
5683234.05	7429113.83	5683234.79	7429120.78
5683234.79	7429120.78	5683235.59	7429127.44
5683235.59	7429127.44	5683235.20	7429140.51
5683234.79	7429120.78	5683147.22	7429113.07
5683147.22	7429113.07	5683144.75	7429119.34
5683144.75	7429119.34	5683235.59	7429127.44
5683147.22	7429113.07	5682859.16	7429087.71
5682859.16	7429087.71	5682860.10	7429093.94
5682860.10	7429093.94	5683144.75	7429119.34
5682858.16	7429081.09	5682859.16	7429087.71
5682860.10	7429093.94	5682860.87	7429099.08
5682869.20	7429153.52	5682870.02	7429159.66
5682870.02	7429159.66	5682872.02	7429172.91
5682872.02	7429172.91	5682872.49	7429175.42
5682872.02	7429172.91	5683159.97	7429200.50
5683159.97	7429200.50	5683162.19	7429187.76
5683162.19	7429187.76	5682870.02	7429159.66
5683162.19	7429187.76	5683218.37	7429192.82
5683218.37	7429192.82	5683220.19	7429186.56
5683218.37	7429192.82	5683214.68	7429205.52
5683214.68	7429205.52	5683212.76	7429212.12
5683214.68	7429205.52	5683159.97	7429200.50
5682870.21	7429412.81	5682877.08	7429417.14
5682877.08	7429417.14	5682889.80	7429424.83
5682889.80	7429424.83	5682899.46	7429430.34
5682889.80	7429424.83	5682579.42	7429479.94
5682579.42	7429479.94	5682337.95	7429524.36
5682337.95	7429524.36	5682334.16	7429516.55
5682334.16	7429516.55	5682578.16	7429472.46
5682578.16	7429472.46	5682877.08	7429417.14
5682334.16	7429516.55	5682293.79	7429524.20
5682293.79	7429524.20	5682291.35	7429518.90
5682293.79	7429524.20	5682300.32	7429538.39
5682300.32	7429538.39	5682305.95	7429549.80
5682271.62	7429479.35	5682265.99	7429468.20
5682265.99	7429468.20	5682254.22	7429443.92
5682254.22	7429443.92	5682242.43	7429419.32
5682242.43	7429419.32	5682238.94	7429412.01
5682238.94	7429412.01	5682234.97	7429403.81
5682234.97	7429403.81	5682227.73	7429387.57
5682227.73	7429387.57	5682220.43	7429371.00
5682220.43	7429371.00	5682209.04	7429346.36
5682220.43	7429371.00	5682296.36	7429357.36
5682296.36	7429357.36	5682299.32	7429374.52
5682299.32	7429374.52	5682227.73	7429387.57
5682299.32	7429374.52	5682338.64	7429367.36
5682338.64	7429367.36	5682469.64	7429343.49
5682469.64	7429343.49	5682466.84	7429326.74
5682466.84	7429326.74	5682296.36	7429357.36
5682466.84	7429326.74	5682552.50	7429311.82
5682635.20	7429295.43	5682641.34	7429294.31
5682641.34	7429294.31	5682645.81	7429293.49
5682645.81	7429293.49	5682674.24	7429288.31
5682674.24	7429288.31	5682696.24	7429302.73
5682696.24	7429302.73	5682554.80	7429327.97
5682552.50	7429311.82	5682635.20	7429295.43
5682554.80	7429327.97	5682469.64	7429343.49
5682696.24	7429302.73	5682717.35	7429316.53
5682717.35	7429316.53	5682557.60	7429345.45
5682557.60	7429345.45	5682341.74	7429384.50
5682341.74	7429384.50	5682342.49	7429393.29
5682342.49	7429393.29	5682342.84	7429401.40
5682342.84	7429401.40	5682560.35	7429362.57
5682560.35	7429362.57	5682738.41	7429330.28
5682738.41	7429330.28	5682727.98	7429323.46
5682727.98	7429323.46	5682559.29	7429354.28
5682559.29	7429354.28	5682342.49	7429393.29
5682717.35	7429316.53	5682727.98	7429323.46
5682342.49	7429393.29	5682305.55	7429400.02
5682305.55	7429400.02	5682303.85	7429391.35
5682303.85	7429391.35	5682341.74	7429384.50
5682303.85	7429391.35	5682234.97	7429403.81
5682242.43	7429419.32	5682342.84	7429401.40
5682254.22	7429443.92	5682301.44	7429435.31
5682301.44	7429435.31	5682297.54	7429422.67
5682301.44	7429435.31	5682564.31	7429387.36
5682305.53	7429440.05	5682309.26	7429460.20
5682309.26	7429460.20	5682265.99	7429468.20
5682309.26	7429460.20	5682568.30	7429412.35
5682568.30	7429412.35	5682797.64	7429369.01
5682797.64	7429369.01	5682799.41	7429370.16
5682797.64	7429369.01	5682774.06	7429353.59
5682774.06	7429353.59	5682767.99	7429349.62
5682774.06	7429353.59	5682565.19	7429392.89
5682565.19	7429392.89	5682305.53	7429440.05
5682165.90	7429259.28	5682171.43	7429270.08
5682171.43	7429270.08	5682198.01	7429322.03
5682171.43	7429270.08	5682239.41	7429258.09
5682239.41	7429258.09	5682244.27	7429285.29
5682244.27	7429285.29	5682245.96	7429294.76
5682244.27	7429285.29	5682539.36	7429232.66
5682057.72	7429137.56	5682072.08	7429156.27
5683125.74	7428602.81	5683118.44	7428598.97
5683118.44	7428598.97	5683058.42	7428567.22
5683058.42	7428567.22	5682985.07	7428528.91
5682957.08	7428509.63	5682964.23	7428515.86
5682964.23	7428515.86	5682987.03	7428524.33
5682964.23	7428515.86	5682772.15	7428478.21
5682772.15	7428478.21	5682769.37	7428458.92
5682769.37	7428458.92	5682838.95	7428374.26
5682838.95	7428374.26	5682845.94	7428382.41
5682838.95	7428374.26	5682832.09	7428366.28
5682832.09	7428366.28	5682790.10	7428317.38
5682832.09	7428366.28	5682768.57	7428453.47
5682768.57	7428453.47	5682769.37	7428458.92
5682761.93	7428407.36	5682768.57	7428453.47
5682772.96	7428483.85	5682962.85	7428520.37
5682772.96	7428483.85	5682777.14	7428512.68
5682777.14	7428512.68	5682780.64	7428536.91
5682780.64	7428536.91	5682781.15	7428540.56
5682780.64	7428536.91	5683058.42	7428567.22
5682781.15	7428540.56	5682785.30	7428568.03
5682785.30	7428568.03	5682787.37	7428581.67
5682785.30	7428568.03	5683118.44	7428598.97
5682787.37	7428581.67	5682423.45	7428646.16
5682431.16	7428655.88	5682788.74	7428590.76
5682787.37	7428581.67	5682788.05	7428586.21
5682788.05	7428586.21	5682788.85	7428591.30
5682788.85	7428591.30	5682791.07	7428606.03
5682791.07	7428606.03	5682792.58	7428616.17
5682792.58	7428616.17	5682793.27	7428620.70
5682792.58	7428616.17	5681999.60	7428759.33
5682781.15	7428540.56	5682648.17	7428564.53
5682648.17	7428564.53	5682637.12	7428537.78
5682637.12	7428537.78	5682777.14	7428512.68
5682772.96	7428483.85	5682624.77	7428507.93
5682624.77	7428507.93	5682637.12	7428537.78
5682624.77	7428507.93	5682578.49	7428515.45
5682578.49	7428515.45	5682583.67	7428547.37
5682583.67	7428547.37	5682583.95	7428549.10
5682583.95	7428549.10	5682559.25	7428555.42
5682559.25	7428555.42	5682563.63	7428579.77
5682563.63	7428579.77	5682648.17	7428564.53
5682583.67	7428547.37	5682637.12	7428537.78
5682583.67	7428547.37	5682048.39	7428642.23
5682048.39	7428642.23	5682042.85	7428611.32
5682042.85	7428611.32	5682349.81	7428553.03
5682048.39	7428642.23	5682053.68	7428671.77
5682053.68	7428671.77	5682563.63	7428579.77
5682042.85	7428611.32	5681916.07	7428635.60
5681916.07	7428635.60	5681914.62	7428638.92
5681916.07	7428635.60	5681905.25	7428637.57
5681905.25	7428637.57	5681907.74	7428640.17
5681924.61	7428694.61	5682053.68	7428671.77
5681924.61	7428694.61	5681890.16	7428700.80
5681924.61	7428694.61	5681919.36	7428665.36
5681905.25	7428637.57	5681873.94	7428643.63
5681890.16	7428700.80	5681867.20	7428704.92
5681867.20	7428704.92	5681865.75	7428697.33
5681873.94	7428643.63	5681856.18	7428647.03
5681856.18	7428647.03	5681858.98	7428661.81
5681856.18	7428647.03	5681798.77	7428658.00
5681798.77	7428658.00	5681801.86	7428661.98
5681798.77	7428658.00	5681768.54	7428663.78
5681867.20	7428704.92	5681813.55	7428714.56
5681813.55	7428714.56	5681807.46	7428686.55
5681813.55	7428714.56	5681777.15	7428721.09
5681777.15	7428721.09	5681779.03	7428724.71
5681779.03	7428724.71	5681801.38	7428718.24
5681777.15	7428721.09	5681768.40	7428694.31
5681768.40	7428694.31	5681762.44	7428676.07
5681762.44	7428676.07	5681759.02	7428665.60
5681759.02	7428665.60	5681765.69	7428659.71
5681759.02	7428665.60	5681741.78	7428681.41
5681779.03	7428724.71	5681797.60	7428760.49
5681797.60	7428760.49	5681833.57	7428753.92
5681833.57	7428753.92	5681824.52	7428731.32
5681833.57	7428753.92	5682423.45	7428646.16
5682431.16	7428655.88	5681995.14	7428734.63
5681995.14	7428734.63	5681999.60	7428759.33
5681995.14	7428734.63	5681855.40	7428759.86
5681855.40	7428759.86	5681872.56	7428782.27
5681872.56	7428782.27	5681999.60	7428759.33
5681855.40	7428759.86	5681802.26	7428769.46
5681802.26	7428769.46	5681814.36	7428792.78
5681814.36	7428792.78	5681872.56	7428782.27
5681797.60	7428760.49	5681802.26	7428769.46
5681814.36	7428792.78	5681817.08	7428798.01
5681872.56	7428782.27	5681889.91	7428804.94
5682610.23	7428354.50	5682609.96	7428354.12
5682609.96	7428354.12	5682592.68	7428329.88
5682592.68	7428329.88	5682510.07	7428307.96
5682510.07	7428307.96	5682477.10	7428284.63
5682477.10	7428284.63	5682440.03	7428258.40
5682609.96	7428354.12	5682277.38	7428410.34
5682277.38	7428410.34	5681919.31	7428469.53
5681919.31	7428469.53	5681914.27	7428430.34
5681919.31	7428469.53	5681827.78	7428484.66
5681862.45	7428553.55	5681858.88	7428554.14
5681862.45	7428553.55	5681855.74	7428509.85
5681855.74	7428509.85	5682080.33	7428473.91
5682080.33	7428473.91	5682087.30	7428516.59
5682087.30	7428516.59	5682312.06	7428479.65
5682087.30	7428516.59	5681862.45	7428553.55
