[x]	[y]	[x]	[y]
5681536.10	7427827.30	5681535.78	7427838.91
5681535.78	7427838.91	5681540.10	7427837.70
5681535.78	7427838.91	5681535.43	7427851.42
5681535.43	7427851.42	5681539.97	7427849.93
5681535.43	7427851.42	5681535.05	7427869.56
5681571.87	7427670.65	5681560.42	7427701.31
5681560.42	7427701.31	5681554.42	7427700.36
5681554.42	7427700.36	5681544.67	7427698.80
5681544.67	7427698.80	5681559.39	7427664.30
5681560.42	7427701.31	5681551.89	7427724.16
5681544.67	7427698.80	5681535.01	7427721.44
5681535.01	7427721.44	5681532.93	7427726.32
5681532.93	7427726.32	5681526.76	7427736.16
5681556.49	7427663.50	5681539.65	7427702.14
5681539.65	7427702.14	5681455.07	7427684.71
5681455.07	7427684.71	5681450.86	7427708.55
5681450.86	7427708.55	5681496.55	7427716.29
5681530.93	7427720.79	5681521.66	7427735.69
5681450.86	7427708.55	5681197.02	7427667.77
5681416.36	7428547.52	5681430.23	7428566.15
5681430.23	7428566.15	5681439.77	7428579.25
5681439.77	7428579.25	5681441.54	7428581.67
5681441.54	7428581.67	5681445.54	7428587.17
5681445.54	7428587.17	5681451.65	7428597.02
5681445.54	7428587.17	5681535.86	7428554.63
5681538.68	7428553.62	5681711.46	7428491.53
5681711.46	7428491.53	5681718.41	7428488.88
5681718.41	7428488.88	5681724.71	7428533.19
5681718.41	7428488.88	5681716.30	7428474.59
5681716.30	7428474.59	5681716.34	7428468.36
5681716.34	7428468.36	5681707.53	7428471.41
5681707.53	7428471.41	5681538.10	7428529.24
5681538.10	7428529.24	5681541.87	7428537.12
5681541.87	7428537.12	5681538.68	7428553.62
5681538.10	7428529.24	5681518.62	7428489.03
5681515.69	7428489.96	5681535.24	7428530.21
5681535.24	7428530.21	5681539.09	7428538.26
5681539.09	7428538.26	5681541.87	7428537.12
5681539.09	7428538.26	5681439.77	7428579.25
5681430.23	7428566.15	5681535.24	7428530.21
5681535.86	7428554.63	5681537.87	7428542.01
5681537.87	7428542.01	5681441.54	7428581.67
5681518.67	7428456.30	5681518.64	7428441.46
5681518.64	7428441.46	5681647.41	7428400.36
5681647.41	7428400.36	5681651.96	7428414.51
5681651.96	7428414.51	5681518.67	7428456.30
5681518.64	7428441.46	5681518.60	7428419.90
5681518.60	7428419.90	5681642.82	7428380.17
5681642.82	7428380.17	5681647.41	7428400.36
5681651.96	7428414.51	5681702.64	7428398.31
5681702.64	7428398.31	5681704.22	7428397.85
5681704.22	7428397.85	5681710.25	7428411.90
5681710.25	7428411.90	5681716.28	7428425.97
5681716.28	7428425.97	5681716.10	7428444.18
5681716.28	7428425.97	5681713.62	7428426.77
5681710.25	7428411.90	5681708.12	7428412.52
5681704.22	7428397.85	5681698.49	7428383.74
5681698.49	7428383.74	5681690.71	7428364.54
5681690.71	7428364.54	5681689.72	7428364.83
5681689.72	7428364.83	5681686.80	7428365.77
5681689.72	7428364.83	5681702.64	7428398.31
5681690.71	7428364.54	5681683.14	7428345.90
5681683.14	7428345.90	5681682.08	7428346.21
5681682.08	7428346.21	5681689.72	7428364.83
5681662.43	7428294.55	5681683.14	7428345.90
5681668.53	7428313.18	5681682.08	7428346.21
5681682.08	7428346.21	5681600.41	7428372.72
5681600.41	7428372.72	5681588.16	7428317.99
5681588.16	7428317.99	5681660.45	7428295.17
5681588.16	7428317.99	5681518.45	7428339.55
5681518.45	7428339.55	5681497.90	7428305.65
5681518.45	7428339.55	5681518.56	7428398.80
5681518.56	7428398.80	5681518.60	7428419.90
5681518.56	7428398.80	5681600.41	7428372.72
5681642.82	7428380.17	5681686.80	7428365.77
5682188.82	7429897.15	5682443.01	7429851.09
5681953.94	7428410.08	5682262.19	7428336.78
5681729.37	7428677.17	5681718.29	7428650.03
5681718.29	7428650.03	5681687.86	7428662.65
5681687.86	7428662.65	5681701.31	7428695.26
5681729.37	7428677.17	5681701.31	7428695.26
5681768.54	7428663.78	5681767.52	7428664.42
5681767.52	7428664.42	5681763.05	7428672.29
5681763.05	7428672.29	5681762.44	7428676.07
5681768.40	7428694.31	5681807.46	7428686.55
5681807.46	7428686.55	5681814.11	7428685.23
5681814.11	7428685.23	5681855.93	7428677.02
5681855.93	7428677.02	5681861.68	7428675.93
5681861.68	7428675.93	5681881.29	7428671.88
5681881.29	7428671.88	5681884.91	7428671.54
5681884.91	7428671.54	5681912.47	7428666.60
5681912.47	7428666.60	5681919.36	7428665.36
5681919.36	7428665.36	5682048.39	7428642.23
5681914.62	7428638.92	5681919.36	7428665.36
5681912.47	7428666.60	5681907.74	7428640.17
5681912.47	7428666.60	5681916.36	7428688.25
5681916.36	7428688.25	5681914.74	7428690.58
5681914.74	7428690.58	5681889.14	7428695.17
5681889.14	7428695.17	5681890.16	7428700.80
5681889.14	7428695.17	5681884.91	7428671.54
5681881.29	7428671.88	5681873.94	7428643.63
5681889.14	7428695.17	5681868.64	7428698.84
5681868.64	7428698.84	5681865.75	7428697.33
5681865.75	7428697.33	5681863.60	7428686.02
5681863.60	7428686.02	5681861.68	7428675.93
5681855.93	7428677.02	5681857.79	7428687.09
5681857.79	7428687.09	5681863.60	7428686.02
5681857.79	7428687.09	5681815.88	7428694.76
5681815.88	7428694.76	5681814.11	7428685.23
5681814.11	7428685.23	5681811.85	7428673.04
5681811.85	7428673.04	5681820.94	7428671.26
5681820.94	7428671.26	5681820.00	7428666.46
5681820.00	7428666.46	5681832.27	7428664.06
5681832.27	7428664.06	5681832.82	7428666.91
5681832.82	7428666.91	5681853.33	7428662.91
5681853.33	7428662.91	5681855.93	7428677.02
5681861.68	7428675.93	5681858.98	7428661.81
5681858.98	7428661.81	5681853.33	7428662.91
5681807.46	7428686.55	5681801.86	7428661.98
5682319.03	7427951.82	5682315.25	7427957.01
5682315.25	7427957.01	5682308.10	7427966.84
5682308.10	7427966.84	5682304.04	7427972.42
5682304.04	7427972.42	5682297.94	7427980.81
5681801.38	7428718.24	5681824.52	7428731.32
5682349.81	7428553.03	5682578.49	7428515.45
5682951.05	7429722.54	5682950.87	7429715.04
5683122.27	7429758.07	5683221.19	7429767.19
5683221.19	7429767.19	5683327.42	7429776.69
5683603.13	7429803.17	5683653.01	7429808.30
5683019.23	7429747.86	5683017.12	7429761.65
5682337.95	7429524.36	5682341.18	7429531.18
5682738.41	7429330.28	5682753.51	7429340.15
5682548.69	7429834.91	5682545.97	7429936.50
5683629.52	7429109.79	5683625.17	7429124.68
5682316.25	7429877.10	5682336.35	7429974.82
5682649.33	7429816.61	5682634.93	7429920.55
5681047.89	7428072.74	5681493.00	7427919.70
5681496.31	7427918.57	5681529.40	7427907.19
5681727.60	7428610.68	5681730.74	7428618.37
5681496.55	7427716.29	5681530.93	7427720.79
5681533.09	7427717.32	5681530.93	7427720.79
5682441.61	7429849.70	5682443.01	7429851.09
5681571.87	7427670.65	5681572.86	7427668.02
5681539.65	7427702.14	5681533.09	7427717.32
5681903.99	7428317.22	5681892.58	7428320.91
5683646.60	7429819.18	5683647.17	7429818.03
5683647.17	7429818.03	5683653.01	7429808.30
5683017.12	7429761.65	5683071.39	7429766.61

