5682104.44	7429625.47	1-2395	0.30	5682095.62	7429603.59	1-2394	0.00
5682095.62	7429603.59	1-2394	0.00	5682224.24	7429580.26	1-2393	0.00
5682104.44	7429625.47	1-2395	0.30	5682234.34	7429601.92	1-2397	0.30
5681521.67	7429991.76	O-5365	0.00	5681522.91	7430000.73	O-5377	0.00
5681522.91	7430000.73	O-5377	0.00	5681525.20	7430017.40	O-5397	0.00
5681525.20	7430017.40	O-5397	0.00	5681525.62	7430020.37	O-5401	0.00
5681525.20	7430017.40	O-5397	0.00	5682188.82	7429897.15	1-2620	0.00
5682188.82	7429897.15	1-2620	0.00	5682187.17	7429880.42	1-2621	0.00
5682187.17	7429880.42	1-2621	0.00	5682186.26	7429871.25	1-2603	0.00
5682187.17	7429880.42	1-2621	0.00	5681522.91	7430000.73	O-5377	0.00
5682187.17	7429880.42	1-2621	0.00	5682370.52	7429846.82	1-2612	0.00
5682370.52	7429846.82	1-2612	0.00	5682367.90	7429838.32	1-2602	0.00
5682370.52	7429846.82	1-2612	0.00	5682434.87	7429835.88	1-1450	0.00
5682434.87	7429835.88	1-1450	0.00	5682430.43	7429826.99	1-1451	0.00
5682434.87	7429835.88	1-1450	0.00	5682441.61	7429849.70	1-10014	0.00
5682542.01	7429937.21	O-5289	0.00	5682545.97	7429936.50	O-5287	0.00
5682545.97	7429936.50	O-5287	0.00	5682549.39	7429935.88	O-5285	0.00
5682542.89	7429835.97	1-2558	0.00	5682548.69	7429834.91	1-2557	0.00
5682548.69	7429834.91	1-2557	0.00	5682554.05	7429833.94	1-2556	0.00
5682883.03	7429876.06	O-5180	0.10	5682884.36	7429875.84	O-5179	0.00
5682884.36	7429875.84	O-5179	0.00	5682929.88	7429765.58	1-2532	0.00
5682929.88	7429765.58	1-2532	0.00	5682915.45	7429768.20	1-2533	0.00
5682884.36	7429875.84	O-5179	0.00	5682899.52	7429874.60	O-5173	0.00
5682899.52	7429874.60	O-5173	0.00	5682910.45	7429873.71	O-5171	0.00
5682899.52	7429874.60	O-5173	0.00	5682947.05	7429762.46	1-2531	0.00
5682947.05	7429762.46	1-2531	0.00	5682929.88	7429765.58	1-2532	0.00
5682947.05	7429762.46	1-2531	0.00	5682948.42	7429762.21	1-2530	0.00
5682948.42	7429762.21	1-2530	0.00	5682952.00	7429756.94	1-2266	0.00
5682952.00	7429756.94	1-2266	0.00	5682951.96	7429755.70	1-2265	0.00
5682951.96	7429755.70	1-2265	0.00	5682953.51	7429755.84	1-2462	0.00
5682953.51	7429755.84	1-2462	0.00	5683017.12	7429761.65	1-2461	0.00
5683071.39	7429766.61	1-2465	0.00	5683120.18	7429771.07	1-2519	0.00
5683120.18	7429771.07	1-2519	0.00	5683219.07	7429780.11	1-2522	0.00
5683219.07	7429780.11	1-2522	0.00	5683325.33	7429789.82	1-2523	0.00
5683325.33	7429789.82	1-2523	0.00	5683327.42	7429776.69	1-2520	0.00
