[numer]	[x]	[y]
19-640	5686101.54	7424165.51
19-1542	5686193.48	7424139.69
19-1343	5685482.70	7424440.45
19-1359	5685490.01	7424441.97
19-1358	5685478.31	7424433.72
19-1344	5685446.22	7424414.08
19-1408	5685525.65	7424336.93
19-1362	5685575.27	7424354.27
19-1363	5685588.46	7424317.97
19-1406	5685539.32	7424300.75
19-1364	5685601.83	7424281.29
19-1404	5685552.91	7424264.03
19-1402	5685566.81	7424227.36
19-1365	5685614.91	7424244.52
19-1366	5685628.29	7424207.86
19-1401	5685581.08	7424189.64
19-27	5685633.90	7424194.82
19-1367	5685642.44	7424170.72
19-1346	5685607.87	7423949.66
19-1416	5685664.20	7423918.37
19-915	5685508.79	7424030.25
19-1686	5686323.14	7424187.21
19-1560	5686283.57	7424172.55
19-1	5685550.48	7423868.96
19-904	5685561.12	7423875.11
19-1140	5685391.58	7424340.24
19-1430	5685391.92	7424342.22
19-870	5685426.60	7423975.43
19-987	5685333.49	7424269.37
19-986	5685319.97	7424256.28
19-1813	5685387.07	7424356.77
19-1818	5685412.17	7424384.21
19-1817	5685435.35	7424413.99
19-1719	5685437.50	7424408.23
19-1720	5685433.83	7424403.88
19-1722	5685395.27	7424358.23
19-1725	5685353.66	7424303.84
19-1726	5685331.08	7424271.15
19-1103	5685268.27	7424220.33
19-1731	5685270.12	7424220.48
19-1104	5685269.02	7424219.29
19-414	5685838.09	7424822.19
19-415	5685851.58	7424823.27
19-1831	5685871.90	7424821.49
19-1832	5685866.84	7424822.10
19-1833	5685834.05	7424818.56
19-1932	5685823.86	7424814.27
19-1834	5685808.76	7424800.83
19-410	5685798.41	7424793.71
19-412	5685822.59	7424815.32
19-1838	5685734.26	7424706.73
19-698	5685728.90	7424700.27
19-363	5685707.00	7424654.24
19-825	5685639.01	7423851.84
19-835	5685644.23	7423849.41
19-830	5685613.14	7423897.50
19-829	5685629.44	7423853.92
19-828	5685613.04	7423848.46
19-834	5685578.70	7423841.61
19-827	5685596.63	7423842.93
19-1802	5686355.68	7424366.41
19-1804	5686236.22	7424326.50
19-1805	5686157.76	7424303.77
19-453	5686059.11	7424273.02
19-2282	5686056.93	7424293.51
19-2280	5686061.26	7424256.70
19-1010	5685247.83	7424205.00
19-1011	5685256.54	7424214.00
19-1101	5685263.09	7424215.21
19-68	5685254.79	7424203.81
19-1099	5685238.71	7424177.50
19-2005	5685227.98	7424139.60
19-396	5684633.48	7424094.10
19-1924	5684648.48	7424080.62
19-1598	5684692.27	7423977.49
19-428	5684466.31	7424147.35
19-1595	5684757.93	7423876.98
19-387	5684689.80	7423975.80
19-189	5684253.33	7424170.06
19-1620	5684307.17	7424158.57
19-429	5684456.33	7424147.90
19-1614	5684476.51	7424150.79
19-1611	5684516.63	7424145.05
19-1610	5684523.80	7424144.14
19-1609	5684543.73	7424142.32
19-388	5684635.80	7424096.01
19-431	5685995.06	7424851.45
19-1893	5685977.35	7424887.09
19-1892	5685976.64	7424888.15
19-432	5685973.30	7424906.10
19-2319	5685934.74	7424891.22
19-2318	5685933.87	7424887.77
19-434	5685938.74	7424907.19
19-364	5685926.50	7424733.16
19-440	5685889.04	7424916.04
O-371	5685330.92	7425009.91
19-730	5686147.57	7423857.08
19-743	5686175.34	7423759.86
19-96	5686178.76	7423747.88
19-2270	5686060.80	7424061.81
19-456	5686203.37	7424206.10
19-1827	5685834.32	7424815.08
19-457	5685799.41	7424784.93
19-1824	5685796.96	7424784.43
19-1826	5685825.75	7424811.27
19-1163	5685549.12	7423870.44
19-468	5685513.86	7423862.08
19-47	5685494.80	7423862.96
19-84	5685514.75	7423859.21
19-785	5685461.99	7423871.81
19-475	5685216.51	7423916.14
19-755	5685217.38	7423913.07
19-756	5685239.95	7423912.72
19-1911	5685203.49	7423865.65
19-232	5685202.44	7423855.00
19-1531	5685015.67	7423889.28
19-153	5685047.52	7423798.99
19-449	5685009.53	7423787.13
19-479	5684911.01	7423878.94
19-480	5684895.28	7423876.62
19-505	5684788.67	7424033.29
19-509	5684788.28	7424010.65
19-510	5684776.95	7423972.25
19-484	5684770.89	7423961.44
19-1014	5685204.07	7424209.83
19-593	5685319.09	7424255.42
19-1100	5685227.78	7424138.91
19-784	5685233.52	7424050.41
19-1081	5685234.89	7424021.03
19-1591	5685244.03	7423912.26
19-1714	5685243.67	7423917.79
19-917	5685240.25	7423970.64
19-1712	5685236.32	7423990.48
19-1711	5685237.35	7424000.53
19-786	5685238.40	7424010.37
19-1082	5685234.36	7424000.39
19-905	5685233.29	7423990.34
19-533	5685418.35	7424379.44
19-535	5685397.68	7424356.45
19-474	5685240.32	7423912.70
19-1555	5686244.30	7424158.23
19-945	5686228.43	7424152.44
19-1550	5686214.43	7424147.33
19-1848	5685498.03	7424453.39
19-459	5685530.30	7424476.70
19-1850	5685444.47	7424416.51
19-954	5685888.48	7423846.47
19-2199	5685896.58	7423873.19
19-583	5684857.93	7423817.30
19-1515	5684859.77	7423814.15
19-585	5684875.62	7423787.10
19-1462	5684877.33	7423784.19
19-580	5684905.09	7423736.74
19-201	5684909.06	7423730.01
19-199	5684851.67	7423703.41
19-2237	5684849.82	7423706.79
19-578	5684836.38	7423864.90
19-587	5684885.62	7423851.07
19-588	5684893.37	7423836.47
19-590	5684909.25	7423806.50
19-564	5684777.05	7423862.59
19-483	5684764.90	7423855.88
19-558	5684761.56	7423897.14
19-1475	5684759.35	7423832.58
19-1480	5684743.43	7423832.84
19-2477	5684718.62	7423820.51
19-1482	5684718.65	7423819.74
19-1484	5684707.50	7423816.40
19-1485	5684580.57	7424063.00
19-1477	5684754.21	7423798.29
19-1478	5684749.04	7423776.32
19-1479	5684745.96	7423754.81
19-147	5684744.95	7423747.76
19-1419	5685699.47	7423927.35
19-1338	5685728.99	7423939.85
19-1446	5685654.16	7423912.18
19-1447	5685642.10	7423910.58
19-1385	5685719.66	7423967.62
19-28	5685711.98	7423989.74
19-1386	5685672.63	7423934.80
19-1675	5685912.38	7424100.26
19-1678	5685851.09	7424036.08
19-1679	5685838.29	7424024.18
19-1673	5685929.87	7424119.64
19-1674	5685921.80	7424111.05
19-1381	5685689.80	7424048.05
19-1670	5685953.91	7424143.81
19-1672	5685935.51	7424125.64
19-1393	5685635.89	7424042.80
19-1380	5685684.68	7424061.37
19-1379	5685683.98	7424063.16
19-1669	5685978.72	7424167.23
19-1666	5686011.48	7424199.68
19-1667	5686010.26	7424197.96
19-1415	5685622.11	7424078.91
19-1375	5685656.58	7424133.95
19-1664	5686036.90	7424227.77
19-1665	5686021.92	7424214.39
19-2342	5686055.87	7424257.75
19-1662	5686055.68	7424251.22
19-2337	5686040.67	7424308.84
19-1368	5685644.03	7424167.06
19-2339	5686052.24	7424291.79
19-653	5685990.70	7424451.31
19-655	5685611.17	7424255.64
19-1410	5685512.19	7424372.96
19-1361	5685562.16	7424390.35
19-1412	5685499.01	7424409.29
19-1360	5685549.06	7424426.18
19-746	5685554.91	7424410.15
19-1414	5685490.88	7424430.36
19-2333	5685966.79	7424619.09
19-437	5685970.43	7424604.99
19-438	5685970.21	7424601.50
19-444	5686104.52	7424079.63
19-739	5686096.33	7424065.75
19-742	5686179.59	7423779.58
19-95	5686186.03	7423756.58
19-741	5686193.04	7423779.71
19-94	5686196.58	7423769.19
19-744	5685960.92	7424530.94
19-1002	5685960.56	7424529.20
19-2334	5685964.57	7424511.31
19-2336	5685989.15	7424456.58
19-751	5685884.75	7424526.69
19-748	5685974.26	7424587.72
19-439	5685967.93	7424565.08
19-754	5685967.11	7424558.29
19-2293	5685965.69	7424529.17
19-2292	5685969.21	7424513.17
19-2291	5685987.79	7424466.93
19-2290	5685993.71	7424458.63
19-2289	5685995.36	7424453.00
19-2231	5686040.52	7423959.17
19-2229	5686034.38	7423956.83
19-2227	5686028.87	7423954.73
19-2223	5685991.55	7423940.53
19-2225	5685973.27	7423935.19
19-2216	5685959.77	7423930.44
19-2217	5685954.43	7423928.56
19-2212	5685939.23	7423921.77
19-2187	5685836.42	7423738.54
19-1392	5685628.36	7424045.61
19-1396	5685599.38	7424122.58
19-1398	5685585.06	7424161.06
19-1400	5685570.26	7424200.77
19-1405	5685541.09	7424278.63
19-1407	5685526.64	7424317.52
19-1413	5685485.21	7424428.33
19-1432	5685438.83	7424402.91
19-1431	5685397.68	7424353.02
19-1357	5685448.98	7424375.50
19-1428	5685461.40	7424341.87
19-1356	5685462.55	7424339.01
19-1421	5685472.65	7424311.94
19-1395	5685411.80	7424289.14
19-1353	5685423.03	7424259.17
19-1349	5685434.25	7424229.21
19-1427	5685506.09	7424221.85
19-1352	5685520.75	7424183.17
19-1433	5685521.02	7424182.16
19-1330	5685460.42	7424159.37
19-1426	5685536.20	7424142.37
19-1424	5685564.85	7424065.31
19-922	5685538.92	7423933.13
19-930	5685534.40	7423922.82
19-887	5685420.52	7424049.90
19-885	5685415.58	7424054.61
19-874	5685386.24	7424084.69
19-877	5685384.47	7424080.86
19-902	5685396.59	7424047.95
19-903	5685409.74	7424012.32
19-889	5685433.87	7424081.97
19-890	5685440.66	7424063.18
19-892	5685454.31	7424025.54
19-1587	5685298.81	7423902.68
19-1575	5685316.97	7423900.58
19-1546	5685330.74	7423858.54
19-2478	5685300.83	7423877.53
19-2479	5685298.44	7423888.25
19-787	5685307.13	7423907.93
19-1506	5685402.30	7423883.15
19-1558	5685360.05	7423892.37
19-471	5685358.05	7423892.81
19-1562	5685340.80	7423896.13
19-1572	5685276.98	7423905.32
19-446	5685891.39	7423582.97
19-1317	5685851.49	7423695.99
19-1314	5685832.68	7423730.63
19-1316	5685845.37	7423693.79
19-1292	5685799.24	7423698.88
19-1312	5685781.84	7423744.77
19-100	5685806.19	7423524.94
19-1297	5685708.09	7423792.54
19-1296	5685725.44	7423776.82
19-1300	5685752.64	7423777.18
19-1311	5685766.00	7423772.02
19-1294	5685769.49	7423769.32
19-245	5685804.87	7423524.66
19-1220	5685693.20	7423833.14
19-1309	5685810.29	7423786.45
19-1310	5685814.74	7423782.61
19-1307	5685787.79	7423784.70
19-1299	5685733.08	7423841.97
19-1302	5685745.67	7423809.22
19-1304	5685775.61	7423819.41
19-1303	5685775.00	7423821.23
19-1218	5685762.60	7423857.10
19-1222	5685702.82	7423836.36
19-1245	5685728.90	7423845.86
19-1243	5685694.62	7423833.63
19-45	5685730.62	7423934.99
19-1241	5685731.08	7423933.30
19-1237	5685715.33	7423883.49
19-1225	5685708.35	7423922.55
19-1232	5685685.45	7423873.57
19-1223	5685698.25	7423838.47
19-1231	5685674.04	7423908.95
19-461	5685674.16	7423915.15
19-689	5685635.04	7423906.33
19-1230	5685673.14	7423895.82
19-1229	5685679.68	7423874.75
19-1238	5685649.87	7423860.80
19-1244	5685679.48	7423866.11
19-1228	5685683.60	7423864.14
19-1234	5685651.45	7423856.20
19-1246	5685647.68	7423854.88
19-817	5685645.84	7423859.90
19-809	5685622.69	7423905.70
19-1871	5685616.52	7424757.59
19-951	5685587.15	7424839.77
19-1897	5685563.30	7424896.87
19-1898	5685562.72	7424906.02
19-1573	5685289.74	7423857.16
19-175	5685289.46	7423854.37
O-64	5684412.10	7424347.47
O-60	5684383.22	7424337.07
19-1767	5684304.01	7424163.56
O-40	5684229.23	7424281.59
O-48	5684278.78	7424299.44
O-49	5684283.20	7424301.03
O-50	5684291.47	7424304.01
O-53	5684305.00	7424308.89
O-66	5684413.64	7424348.26
O-69	5684421.51	7424350.86
O-72	5684426.69	7424353.00
O-73	5684433.41	7424355.22
O-80	5684486.19	7424374.52
O-75	5684454.41	7424362.90
O-122	5684712.41	7424456.96
O-98	5684624.21	7424424.96
O-101	5684638.61	7424430.47
O-94	5684588.42	7424411.91
O-95	5684599.73	7424416.05
O-194	5685009.20	7424565.17
O-195	5685012.27	7424566.31
O-198	5685021.53	7424569.76
O-200	5685032.59	7424573.87
O-139	5684798.97	7424488.06
O-134	5684776.69	7424480.07
O-137	5684787.04	7424483.78
O-188	5684989.79	7424557.95
O-166	5684903.91	7424526.00
O-157	5684855.34	7424508.27
O-158	5684863.43	7424511.17
O-165	5684903.65	7424525.90
O-141	5684806.42	7424490.73
O-146	5684822.22	7424496.39
O-152	5684838.78	7424502.33
O-203	5685041.64	7424577.24
O-205	5685048.67	7424579.89
O-91	5684566.07	7424403.74
O-86	5684521.42	7424387.41
O-225	5685134.21	7424612.15
O-222	5685126.54	7424609.25
O-223	5685130.69	7424610.82
O-227	5685138.63	7424613.82
O-232	5685157.42	7424620.91
O-237	5685181.53	7424629.41
O-245	5685229.49	7424645.54
O-238	5685182.84	7424629.85
O-243	5685210.48	7424639.95
O-244	5685222.22	7424643.09
O-252	5685302.28	7424670.02
O-254	5685313.05	7424673.86
O-214	5685087.54	7424594.55
O-217	5685098.18	7424598.56
O-220	5685110.33	7424603.14
O-84	5684499.64	7424379.44
O-83	5684496.62	7424378.33
O-58	5684367.00	7424331.22
O-257	5685336.32	7424682.13
O-258	5685341.87	7424684.11
O-263	5685377.19	7424696.70
O-266	5685397.54	7424703.94
O-268	5685403.08	7424705.92
O-269	5685412.33	7424709.21
O-273	5685430.69	7424715.75
19-1922	5684760.19	7423914.60
19-1469	5684758.58	7423896.91
O-85	5684519.38	7424386.66
O-186	5684975.25	7424552.54
O-179	5684945.38	7424541.44
O-181	5684956.03	7424545.39
19-1909	5684749.92	7423754.24
19-235	5684748.62	7423745.18
19-1453	5686013.67	7424460.11
19-1326	5686009.16	7424464.03
19-1325	5686006.74	7424470.91
O-5892	5686008.82	7424503.70
O-149	5686009.73	7424498.60
O-5707	5686002.88	7424539.30
19-1260	5686001.25	7424528.30
O-5968	5686008.26	7424506.86
19-441	5686002.24	7424455.49
O-105	5686173.23	7424438.48
O-110	5686185.04	7424441.98
O-111	5686185.56	7424442.04
O-121	5686224.95	7424455.36
O-128	5686265.55	7424463.58
O-5698	5686017.02	7424458.11
O-117	5686020.91	7424451.57
O-109	5686024.14	7424440.89
O-100	5686063.84	7424429.35
19-1004	5686437.06	7424355.80
19-1156	5686449.03	7424347.34
19-1179	5686468.44	7424336.76
O-5691	5686483.49	7424334.32
O-51	5686514.57	7424303.50
O-44	5686530.50	7424290.64
19-1795	5686503.89	7424286.98
19-1796	5686474.03	7424281.00
19-1797	5686460.72	7424262.16
19-1798	5686458.40	7424234.61
O-114	5686335.62	7424443.28
O-93	5686380.50	7424410.61
O-7200	5686423.53	7424367.77
O-6082	5686532.06	7424289.08
19-1966	5686530.36	7424287.89
19-1790	5686480.89	7424276.88
19-1791	5686467.58	7424258.04
19-1715	5686463.48	7424236.28
19-1641	5686461.99	7424233.25
19-1758	5686457.52	7424227.84
19-1759	5686450.37	7424222.04
19-1792	5686462.68	7424232.03
19-1716	5686467.70	7424244.84
19-1717	5686504.41	7424271.72
G.1010-1316	5686536.26	7424284.
19-197	5686496.76	7424257.07
19-196	5686493.90	7424248.63
19-193	5686466.00	7424218.20
19-1757	5686463.94	7424220.54
19-1967	5686459.13	7424226.01
19-1971	5686451.21	7424199.90
19-1968	5686457.18	7424221.05
19-208	5686456.79	7424196.41
19-207	5686453.09	7424184.47
19-206	5686451.15	7424121.44
19-1978	5686450.64	7424086.49
19-1977	5686449.59	7424095.89
19-1975	5686450.41	7424123.61
19-1974	5686448.23	7424156.75
19-1973	5686449.46	7424170.03
19-1972	5686449.42	7424188.03
19-204	5686443.38	7424063.98
19-227	5686243.52	7423793.79
19-229	5686221.59	7423784.90
19-1913	5686220.55	7423788.24
19-1519	5686196.21	7423866.77
19-1520	5686216.41	7423870.79
19-1521	5686136.35	7424102.60
19-2007	5686218.42	7423784.59
19-2008	5686217.03	7423783.05
19-255	5686203.62	7423777.61
19-2011	5686126.79	7423694.57
19-2228	5686116.75	7423723.07
19-2012	5686121.32	7423692.49
19-139	5686119.29	7423680.62
19-2014	5686115.82	7423690.48
19-140	5686101.07	7423678.13
19-2016	5686098.41	7423685.65
19-2221	5686090.92	7423706.86
19-2017	5686094.06	7423685.63
19-142	5686091.02	7423686.97
19-141	5686080.90	7423683.47
19-2222	5686076.02	7423697.51
19-2025	5686021.70	7423660.61
19-2024	5686028.50	7423665.66
19-133	5686029.18	7423663.72
19-2211	5686027.93	7423667.31
19-2023	5686033.52	7423669.39
19-2022	5686037.57	7423671.03
19-135	5686038.36	7423668.74
19-134	5686037.78	7423668.54
19-2215	5686046.05	7423678.69
19-1883	5685564.39	7423507.46
19-2028	5685531.37	7423582.72
19-2029	5685523.21	7423592.28
19-2031	5685494.95	7423638.26
19-2032	5685482.77	7423640.16
19-2033	5685484.48	7423647.06
19-2034	5685486.73	7423645.65
19-2035	5685489.46	7423647.57
19-2036	5685493.06	7423659.80
19-2037	5685490.14	7423662.66
19-2038	5685486.00	7423663.41
19-2039	5685487.83	7423677.58
19-2042	5685485.62	7423703.70
19-2043	5685482.68	7423706.20
19-2044	5685482.80	7423727.55
19-2045	5685477.22	7423744.33
19-264	5685546.72	7423535.66
19-267	5685471.06	7423652.27
19-1870	5685466.89	7423691.14
19-1912	5685471.48	7423754.66
19-2049	5685454.63	7423784.38
19-2048	5685463.36	7423771.96
19-2053	5685417.99	7423821.08
19-156	5685416.97	7423815.12
19-1535	5685412.87	7423827.33
19-2056	5685416.34	7423826.03
19-2055	5685418.25	7423824.38
19-2054	5685418.96	7423822.34
19-2058	5685394.22	7423839.32
19-2057	5685410.19	7423828.42
19-1543	5685393.69	7423835.13
19-1544	5685369.49	7423843.73
19-2061	5685368.40	7423849.37
19-2063	5685355.48	7423853.98
19-2062	5685363.70	7423851.45
19-2064	5685351.96	7423851.27
19-2065	5685349.43	7423850.42
19-2066	5685342.71	7423851.14
19-159	5685333.95	7423848.62
19-2071	5685308.21	7423855.85
19-2070	5685311.72	7423855.17
19-2075	5685083.11	7423799.42
19-151	5685076.08	7423792.74
19-2079	5685052.91	7423799.47
19-1532	5685076.71	7423818.06
19-2074	5685084.72	7423798.74
19-2073	5685087.62	7423799.35
19-2081	5684996.38	7423779.60
19-102	5684979.95	7423767.02
19-234	5684843.17	7423700.91
19-2083	5684842.97	7423701.29
19-2234	5684827.27	7423729.33
19-2086	5684815.74	7423706.36
19-2085	5684831.17	7423701.08
19-2084	5684841.30	7423701.17
19-237	5684820.79	7423699.76
19-2088	5684802.41	7423706.58
19-2087	5684809.48	7423706.96
19-259	5684232.91	7424187.45
O-34	5684155.61	7424255.07
O-36	5684176.95	7424262.76
O-38	5684202.72	7424272.04
19-258	5684216.08	7424198.33
19-257	5684184.16	7424222.41
O-7217	5684145.74	7424251.51
19-163	5685409.28	7423823.65
19-162	5685386.31	7423832.57
19-1980	5686419.72	7423996.04
19-182	5686423.45	7424007.59
19-1979	5686423.25	7423997.67
19-181	5686423.01	7423985.78
19-1982	5686406.13	7423940.33
19-180	5686421.98	7423934.87
19-179	5686412.65	7423912.19
19-1685	5686402.67	7423942.85
19-1988	5686378.11	7423890.65
19-254	5686397.72	7423875.89
19-211	5686389.41	7423856.97
19-210	5686379.13	7423847.91
19-1556	5686367.61	7423851.65
19-1990	5686361.77	7423868.37
19-1554	5686349.52	7423843.85
19-1992	5686343.96	7423860.45
19-1994	5686326.60	7423848.85
19-1993	5686335.10	7423855.08
19-1995	5686315.41	7423840.20
19-1996	5686313.40	7423838.63
19-256	5686308.03	7423825.96
19-273	5686296.38	7423818.62
19-1999	5686299.33	7423824.66
19-1998	5686303.91	7423826.29
19-203	5686294.33	7423817.33
19-2480	5686293.52	7423821.60
19-202	5686284.16	7423815.67

19-2105	5684277.51	7424119.45
19-190	5684278.09	7424118.22
19-191	5684307.69	7424076.22
19-2102	5684316.26	7424070.06
19-213	5684395.52	7424005.63
19-214	5684432.61	7423971.87
19-215	5684447.16	7423954.75
19-217	5684474.93	7423916.34
19-2099	5684475.39	7423914.09
19-165	5684481.84	7423887.88
19-220	5684520.29	7423797.87
19-221	5684551.68	7423784.18
19-222	5684589.13	7423763.99
19-223	5684629.50	7423756.67
19-1503	5684527.52	7423909.71
19-1504	5684569.58	7423851.27
19-2092	5684498.15	7423844.01
19-2093	5684495.93	7423849.12
19-2095	5684488.85	7423873.98
19-2098	5684477.25	7423912.01
19-2483	5684473.60	7423923.53
19-2484	5684457.22	7423944.68
19-2485	5684428.16	7423979.03
19-2487	5684402.67	7424000.98
19-2490	5684365.57	7424033.44
19-2491	5684360.75	7424036.48
19-2496	5684337.57	7424058.28
19-2497	5684328.39	7424063.00
19-2498	5684321.13	7424067.27
19-2104	5684298.01	7424097.76
19-2503	5684283.39	7424112.60
19-2295	5685972.01	7424556.31
O-193	5686005.89	7424564.29
O-191	5686005.56	7424562.18
O-180	5686002.51	7424542.87
19-2294	5685966.40	7424532.22
19-2297	5685977.55	7424603.21
19-1860	5685997.96	7424607.96
19-1888	5685976.18	7424913.15
O-286	5685975.60	7424772.29
19-2309	5685928.34	7424758.43
19-2310	5685926.51	7424763.77
19-1869	5685947.22	7424681.41
19-1868	5685993.67	7424697.57
O-264	5685999.13	7424699.47
O-262	5686000.82	7424691.16
O-253	5686003.16	7424672.12
19-1867	5685998.24	7424670.20
19-2302	5685957.99	7424654.52
19-500	5685957.69	7424655.26
O-242	5686008.97	7424639.00
O-240	5686009.99	7424633.40
19-1751	5686433.82	7424045.03
19-1752	5686399.51	7424215.93
19-1527	5686153.76	7424115.16
19-1528	5686150.92	7424124.19
19-1746	5686048.10	7424086.73
19-118	5685719.30	7423511.00
19-2170	5685714.79	7423523.25
19-2171	5685610.93	7423805.59
19-2161	5685575.31	7423793.16
19-2160	5685672.71	7423520.35
19-113	5685679.20	7423502.17
19-112	5685668.98	7423498.78
19-2158	5685661.64	7423519.58
19-111	5685654.69	7423494.05
19-2157	5685548.31	7423783.15
19-1904	5685900.75	7424916.95
19-2325	5685934.02	7424915.85
19-2326	5685933.88	7424908.41
19-1810	5686217.57	7424367.10
19-1800	5686334.41	7424400.05
19-1801	5686344.62	7424383.91
19-1808	5686226.67	7424347.30
19-2284	5686045.37	7424310.56
19-2285	5686036.17	7424330.22
19-2202	5686000.66	7423650.31
19-2203	5685913.16	7423899.43
19-2206	5685921.80	7423913.11
19-85	5686011.04	7423656.71
19-2254	5686127.95	7423853.18
19-2252	5686157.56	7423748.69
19-249	5686163.63	7423729.79
19-248	5686147.32	7423710.28
19-247	5686142.01	7423704.66
19-2247	5686132.07	7423732.69
19-1934	5686091.91	7423846.00
19-2248	5686051.70	7423963.42
19-2259	5686053.17	7423963.98
19-132	5686018.55	7423657.76
19-1739	5685955.14	7424052.87
19-1434	5686005.39	7423949.01
19-1435	5685990.56	7423943.37
19-1438	5685972.21	7423937.99
19-1439	5685963.76	7423935.02
19-1736	5685928.04	7424020.24
19-1440	5685953.37	7423931.36
19-1441	5685943.22	7423926.84
19-1709	5685910.21	7424011.86
19-1710	5685901.83	7424033.45
19-1918	5685920.54	7423916.73
19-1646	5685811.14	7424000.42
19-1683	5685812.08	7423965.76
19-1642	5685783.76	7423978.22
19-1645	5685799.66	7423991.95
19-1464	5685794.34	7423868.69
19-2472	5685767.73	7423944.92
19-1582	5685762.28	7423960.54
19-1643	5685777.02	7423972.39
19-1740	5685755.44	7423980.13
19-2460	5685779.81	7423989.01
19-1771	5686392.45	7424303.84
19-1768	5686399.89	7424290.70
19-2475	5686057.18	7424165.97
19-2474	5686056.06	7424178.32
19-1852	5685491.48	7424579.48
19-1853	5685488.62	7424586.94
O-287	5685419.07	7424772.50
19-1873	5685594.79	7424804.46
19-1874	5685601.47	7424772.44
O-275	5685438.72	7424718.61
19-246	5685638.80	7423493.33
19-2150	5685630.38	7423517.42
19-2151	5685538.75	7423779.60
19-1576	5685246.93	7423908.95
19-1577	5685265.15	7423859.58
19-176	5685266.63	7423855.58
19-178	5685262.97	7423855.77
19-1579	5685218.81	7423909.01
19-368	5684714.45	7423930.86
19-1565	5684697.33	7423971.86
19-1603	5684657.35	7424035.78
19-1599	5684686.03	7423983.08
19-1601	5684663.40	7424010.88
19-1632	5684543.45	7424139.33
19-1549	5684566.46	7424110.12
19-1486	5684557.65	7424107.53
19-1487	5684538.87	7424102.00
19-1630	5684518.31	7424141.81
19-1628	5684421.06	7424140.14
19-1927	5684348.06	7424153.91
19-1766	5684338.20	7424156.07
19-2172	5685604.58	7423803.46
19-1830	5685872.17	7424818.00
19-1828	5685858.71	7424817.71
19-1762	5684508.71	7424332.11
19-1925	5684603.36	7424135.37
19-1607	5684574.36	7424140.97
19-1608	5684548.76	7424142.10
O-279	5685986.19	7424742.45
O-278	5685987.48	7424739.42
19-2307	5685939.43	7424725.08
O-270	5685996.84	7424710.77
19-2306	5685941.25	7424719.16
19-2350	5686053.23	7424180.05
19-462	5686053.05	7424178.35
19-1786	5686167.82	7424282.22
19-1778	5686376.65	7424331.78
19-1780	5686178.01	7424260.39
19-1781	5686057.67	7424216.49
19-2276	5686054.78	7424215.47
19-2277	5686054.57	7424217.30
19-2278	5686057.03	7424237.17
19-1661	5686039.85	7424225.07
19-2344	5686054.80	7424243.73
19-2346	5686051.63	7424217.87
19-1659	5686018.04	7424202.07
19-2274	5686056.43	7424198.21
19-2273	5686057.13	7424188.76
19-1450	5685898.61	7423882.02
19-1442	5685916.99	7423911.12
19-127	5685986.75	7423634.27
19-2197	5685984.57	7423640.40
19-2198	5685899.88	7423878.43
19-183	5686426.13	7424013.93
19-1747	5686425.27	7424016.96
19-146	5686137.31	7423699.68
19-2195	5685887.39	7423842.09
19-126	5685965.70	7423617.74
19-125	5685963.53	7423616.04
19-124	5685955.31	7423615.67
19-2192	5685937.94	7423611.66
19-1625	5684350.04	7424150.48
O-55	5684325.28	7424316.19
19-1616	5684419.65	7424142.74
19-1617	5684411.93	7424141.66
19-1618	5684403.60	7424143.26
O-54	5684311.92	7424311.38
19-1491	5684691.23	7423767.57
19-150	5684698.43	7423753.22
19-149	5684673.21	7423754.48
19-1496	5684662.57	7423774.07
19-1495	5684567.38	7423949.33
19-1494	5684500.76	7424068.82
19-1500	5684395.13	7424059.30
19-1622	5684309.23	7424155.32
19-1255	5684706.46	7424346.96
19-322	5684742.72	7424430.72
19-331	5684727.60	7424390.13
19-329	5684696.23	7424380.44
19-70	5684742.24	7424231.21
19-67	5684814.83	7424253.64
19-74	5684750.21	7424205.41
19-1256	5684733.48	7424259.55
19-1250	5684803.21	7424281.09
19-64	5684803.60	7424281.21
19-78	5684723.59	7424291.55
19-76	5684715.02	7424319.25
19-1257	5684757.89	7424180.57
19-390	5684767.78	7424148.59
19-389	5684846.93	7424173.05
19-1023	5684854.18	7424155.12
19-1022	5684822.05	7424126.96
19-916	5684819.22	7424123.02
19-995	5684807.26	7424104.78
19-1199	5684757.89	7424155.60
19-370	5684766.45	7424130.20
19-373	5684722.52	7424163.81
19-1212	5684711.81	7424183.63
19-1213	5684693.65	7424217.23
19-1214	5684676.71	7424248.57
19-1207	5684685.71	7424385.93
19-1209	5684676.81	7424413.46
19-43	5684970.42	7423947.61
19-42	5684992.60	7423890.97
19-1157	5684987.52	7423890.22
19-1161	5684965.77	7423945.78
19-1164	5684930.23	7424036.21
19-88	5685013.97	7423894.12
19-1160	5684945.74	7423937.38
19-1142	5684939.46	7423952.34
19-1037	5684923.37	7423990.60
19-1035	5684915.77	7424008.67
19-1053	5684915.42	7423897.26
19-1039	5684842.60	7423954.50
19-994	5684857.59	7424049.06
19-560	5684791.24	7423928.26
19-567	5684798.38	7423917.03
19-1025	5684848.98	7424056.20
19-1027	5684804.58	7424036.66
19-1047	5684863.76	7423914.22
19-1052	5684912.13	7423904.35
19-1055	5684956.59	7423894.84
19-1043	5684935.06	7423946.01
19-1059	5684884.43	7423880.49
19-1048	5684908.89	7423911.33
19-1041	5684854.36	7423932.10
19-87	5685049.31	7423897.96
19-1266	5684997.54	7423951.74
19-1267	5685026.05	7423961.97
19-1269	5685017.67	7423985.30
