[numer]	[x]	[y]
19-1606	5684605.50	7424130.92
19-1763	5684463.80	7424313.62
19-1875	5685986.73	7424739.20
O-277	5685990.53	7424732.23
19-2305	5685944.43	7424701.55
19-1655	5685963.39	7424147.26
19-1654	5685943.70	7424128.66
19-1785	5686244.73	7424307.97
19-1784	5686366.64	7424349.09
19-1936	5686368.72	7424345.79
19-1779	5686253.99	7424287.80
19-2279	5686058.89	7424245.75
19-2345	5686054.09	7424237.75
19-2347	5686052.05	7424214.47
19-1660	5686024.87	7424211.69
19-1777	5686384.57	7424317.77
19-2275	5686055.79	7424206.88
19-1657	5685992.24	7424174.83
19-1933	5686054.07	7424197.35
19-2349	5686054.14	7424188.49
19-1656	5685981.49	7424164.35
19-2348	5686054.06	7424198.06
19-1658	5686013.21	7424195.26
19-1458	5685864.59	7423784.95
19-1455	5685893.82	7423874.45
19-1443	5685911.89	7423903.04
19-1444	5685906.93	7423895.20
19-128	5685996.39	7423641.85
19-2200	5685994.70	7423646.64
19-2201	5685908.21	7423891.60
19-1748	5686371.81	7424205.51
19-2232	5686126.91	7423729.45
19-2233	5686045.94	7423961.23
19-2194	5685962.53	7423626.82
19-123	5685940.43	7423604.48
19-2193	5685874.53	7423794.16
19-2196	5685876.09	7423796.43
19-2191	5685865.82	7423781.43
19-2190	5685927.55	7423605.26
19-122	5685930.46	7423596.97
19-1928	5684440.91	7424073.19
19-1499	5684401.43	7424061.22
19-1764	5684415.61	7424150.16
19-1765	5684399.34	7424151.07
19-1489	5684530.69	7424066.64
19-1490	5684670.89	7423805.46
19-148	5684698.97	7423753.16
19-1493	5684490.23	7424087.70
19-1492	5684508.75	7424093.14
19-1488	5684515.41	7424095.11
19-1926	5684481.28	7424146.52
19-1623	5684340.75	7424151.72
19-1501	5684374.11	7424052.93
19-1624	5684347.61	7424150.94
19-327	5684733.96	7424386.86
19-324	5684757.61	7424394.17
19-66	5684768.97	7424366.27
19-1251	5684768.77	7424366.21
19-326	5684737.09	7424356.42
19-325	5684728.23	7424385.09
19-323	5684697.69	7424375.66
19-330	5684717.86	7424421.70
19-328	5684732.48	7424391.64
19-321	5684686.35	7424410.26
19-1253	5684690.54	7424399.06
19-71	5684825.05	7424228.53
19-77	5684790.92	7424312.35
19-75	5684779.95	7424339.31
19-63	5684834.89	7424204.36
19-1249	5684834.33	7424204.19
19-391	5684762.84	7424164.58
19-1258	5684775.80	7424122.65
19-1259	5684796.82	7424073.31
19-1021	5684795.33	7424069.22
19-1262	5684772.99	7424121.69
19-1261	5684687.45	7424398.35
O-112	5684672.93	7424442.63
O-113	5684674.07	7424443.04
19-392	5684840.63	7424188.62
19-1211	5684731.73	7424146.78
19-371	5684744.50	7424123.15
19-372	5684751.87	7424173.48
19-1201	5684745.36	7424194.03
19-1202	5684734.23	7424229.84
19-1203	5684723.84	7424263.26
19-1215	5684659.79	7424279.88
19-1204	5684713.49	7424296.54
19-1217	5684628.99	7424336.87
19-1206	5684694.61	7424357.28
19-1205	5684703.85	7424327.57
19-1216	5684644.05	7424308.99
19-1334	5684614.44	7424363.78
19-1335	5684601.34	7424388.00
19-1208	5684682.37	7424396.66
19-41	5684934.88	7424038.04
19-40	5684959.15	7424047.57
19-48	5684972.35	7424010.53
19-44	5684949.26	7424001.46
19-110	5684977.19	7423996.94
19-1030	5684966.99	7423887.19
19-1054	5684965.60	7423890.10
19-1042	5684941.00	7423948.65
19-1033	5684908.10	7424026.91
19-1057	5684939.86	7423887.05
19-1058	5684921.18	7423884.84
19-1036	5684833.19	7423972.38
19-1145	5684901.24	7423980.72
19-1038	5684880.91	7423971.63
19-1034	5684823.89	7423990.09
19-1032	5684814.73	7424007.53
19-1031	5684900.12	7424045.91
19-1028	5684810.55	7424028.36
19-996	5684892.37	7424064.35
19-1029	5684808.31	7424019.75
19-1019	5684842.77	7424082.84
19-1018	5684878.43	7424097.54
19-1020	5684838.15	7424080.93
19-561	5684767.53	7423929.66
19-568	5684781.21	7423904.42
19-569	5684766.50	7423926.15
19-2469	5684774.95	7423954.85
19-1024	5684846.93	7424050.92
19-1026	5684811.69	7424035.42
19-1017	5684794.51	7424064.81
19-1046	5684860.66	7423920.12
19-1045	5684869.11	7423916.59
19-1051	5684946.20	7423919.54
19-1056	5684954.75	7423888.82
19-1143	5684919.59	7423939.10
19-1044	5684900.05	7423930.39
19-1144	5684917.97	7423942.76
19-1040	5684891.63	7423948.53
19-1049	5684895.39	7423905.62
19-1060	5684879.49	7423884.29
19-1050	5684873.21	7423896.25
19-1264	5685005.84	7423928.44
19-1265	5685034.42	7423938.70
19-1263	5685017.85	7423894.71
19-1268	5684989.22	7423975.09
19-136	5684981.04	7423997.89
19-1271	5685007.58	7424013.37
19-1274	5684957.99	7424062.76
19-1275	5684986.20	7424072.88
19-1277	5684977.16	7424098.04
19-1278	5684938.90	7424116.36
19-1279	5684966.96	7424126.42
19-1280	5684929.88	7424141.68
19-1281	5684957.87	7424151.72
19-106	5684916.74	7424166.15
19-107	5684951.98	7424168.67
19-104	5684957.39	7424153.04
19-105	5684923.65	7424147.24
19-312	5685011.35	7424103.54
19-317	5685035.57	7424037.29
19-320	5685043.68	7424015.12
19-19	5685060.00	7423970.46
19-1593	5685085.09	7423901.84
19-1700	5684975.50	7424170.59
